"Conventional","Bias-Corrected","Robust","","","","Conventional","Bias-Corrected","Robust","","",""
0,1,1,1,0,1,0.282301880853155,0.282301880853155,0.332516298494492,0.351619981555286,0.291224139881837,0.347516212123687
0,0,0,1,0,1,0.288985288790536,0.288985288790536,0.315952401067133,0.533283437972158,0.329253050625345,0.41322074901589
1,1,1,1,0,1,0.208440642258549,0.208440642258549,0.229423321348041,0.320245088410458,0.276625426852257,0.323728545605542
1,1,1,1,0,1,0.225936955438717,0.225936955438717,0.25040238679927,0.337269559777353,0.252001495113056,0.301943639431132
0,1,1,1,0,1,0.167041663114551,0.167041663114551,0.194462155319045,0.254770991720374,0.270108768512442,0.325459650714893
0,0,1,1,0,1,0.204944264140802,0.204944264140802,0.225200655102934,0.350693692546525,0.304547844639026,0.359847841103634
1,1,1,1,0,1,0.251117578542428,0.251117578542428,0.28217323982148,0.381182415219624,0.273731396413079,0.321271509705103
1,1,1,1,1,1,0.359578301056326,0.359578301056326,0.383829755487853,0.83647453847517,0.355821043812267,0.481538697344211
1,1,1,1,1,1,0.221885721508167,0.221885721508167,0.26893148789176,0.31492984988846,0.272896124614512,0.330292424984576
1,1,1,1,1,1,0.328736579869219,0.328736579869219,0.361756648825757,0.666659993372039,0.381882211209189,0.520928044296536
1,1,1,1,1,1,0.22295121632135,0.22295121632135,0.23551266626454,0.317589198423781,0.306528679560273,0.350670726492627
1,1,1,1,1,1,0.237845421473515,0.237845421473515,0.243016192176545,0.414482036494172,0.312465310924061,0.374462936352556
0,1,1,1,0,1,0.284569824939801,0.284569824939801,0.314510717190206,0.391068231276885,0.289056608376055,0.356055406533065
1,1,1,1,0,1,0.357066800271312,0.357066800271312,0.361616323882863,0.597258306310467,0.410486512238888,0.488899919708353
1,1,1,1,1,1,0.230915467255482,0.230915467255483,0.292058657064725,0.367042088918092,0.288877129820706,0.3448365688134
0,1,1,1,0,1,0.323516008100682,0.323516008100682,0.349718047125659,0.576671394896995,0.324432518424797,0.402172683192663
1,1,1,1,1,1,0.296262445650504,0.296262445650504,0.321230978067722,0.388728154095854,0.290951454341037,0.370925973743361
1,1,1,1,1,1,0.390841431998926,0.390841431998926,0.405451840588395,0.674615989225472,0.380870152791647,0.485500043077613
0,1,1,1,0,1,0.322704497074201,0.322704497074201,0.345872481393914,0.605359867039236,0.323011821459011,0.418732041260696
1,1,1,1,0,1,0.166822309311863,0.166822309311863,0.221194692816316,0.32350257396411,0.270001866102106,0.333494608164916
1,1,1,1,0,1,0.22665233291151,0.22665233291151,0.248905018059739,0.347661485475696,0.266412478012265,0.323748288607952
1,1,1,1,0,1,0.292016092950022,0.292016092950022,0.312841727745897,0.455819129192813,0.290364020545383,0.363454321524778
0,0,0,0,0,1,0.229032794632462,0.229032794632462,0.254200307217648,0.299276093529025,0.363652659846029,0.438836346012516
1,1,1,1,0,1,0.381399194171415,0.381399194171415,0.413525708915668,0.798467931811432,0.35885479650167,0.459514068660345
1,1,1,1,1,1,0.241861462422833,0.241861462422833,0.289426063985485,0.444016419721069,0.356042773523133,0.443128406749492
1,1,1,1,0,1,0.281258277588898,0.281258277588898,0.303165999217415,0.355365175907277,0.336801067802927,0.388306988412167
1,1,1,1,1,1,0.30465572735765,0.30465572735765,0.338173321449741,0.367618131354718,0.308496647671451,0.367031400011723
1,1,1,1,0,1,0.28382568317047,0.28382568317047,0.318077291124565,0.622443301285727,0.335008619956507,0.446994235432784
1,1,1,1,1,1,0.224163061985092,0.224163061985092,0.235263105256441,0.347701442281097,0.347118729225313,0.411354756618366
0,1,1,1,0,1,0.285246801940398,0.285246801940398,0.329598359018489,0.512872738694883,0.313135488279818,0.399751199324999
1,1,1,1,0,1,0.195089468153983,0.195089468153983,0.2254987801156,0.348063110251302,0.341209559407703,0.423506385615613
1,1,1,1,0,1,0.300598095587874,0.300598095587874,0.335708779265853,0.459308554126265,0.418691779109534,0.511323718524943
0,1,1,1,0,1,0.264738261179543,0.264738261179543,0.292075393019316,0.41735887616059,0.281874527312512,0.331219203242913
0,1,1,1,0,1,0.305675818344472,0.305675818344472,0.336578520153433,0.815654631107723,0.32097007488777,0.40334444986351
