"Conventional","Bias-Corrected","Robust","","","","Conventional","Bias-Corrected","Robust","","",""
1,1,1,1,0,1,0.846889909766434,0.846889909766434,1.03546247027484,1.20193458892005,0.777970802440408,0.918199522378931
0,0,0,0,0,0,0.787840250355945,0.787840250355945,0.917434061365912,1.14161833561658,0.707719813241988,0.850522839661206
1,1,1,1,1,1,0.747885456243616,0.747885456243616,0.833151565947844,0.9883305626309,0.796479153006305,0.906333965592893
1,1,1,1,1,1,0.797514596500781,0.797514596500781,0.987873055272813,1.07005625797854,0.705235042630989,0.810909546516577
1,1,1,1,1,1,0.599163124610293,0.599163124610292,0.732654898757036,0.852576945564521,0.720604930917412,0.833225463481648
0,0,1,1,0,1,0.708512601206546,0.708512601206546,0.833270824259566,1.0952320578074,0.95826473444733,1.15472902879401
1,1,1,1,1,1,0.761981065321287,0.761981065321287,0.893948799048768,1.00992439197188,0.719919554890575,0.855731650029821
1,1,1,1,1,1,1.06101569535052,1.06101569535052,1.21412093305749,1.76370830229163,0.95696875898562,1.18156154743235
1,1,1,1,1,1,0.764315652986011,0.764315652986011,0.847846445177681,0.890412258162312,0.744685018812818,0.873711970837568
1,1,1,1,1,1,1.0867758441913,1.0867758441913,1.20833109809093,1.48950829714182,0.865977795155736,1.08522513220121
1,1,1,1,1,1,0.808748295576613,0.808748295576613,0.862162221426665,0.984094355685521,0.859103708373297,0.961622960468114
1,1,1,1,1,1,0.813244030676683,0.813244030676683,0.891198860686004,1.07280074651618,0.897389259780671,1.0577175904329
0,1,1,1,0,1,0.810152578972763,0.810152578972763,0.935860922280917,1.04914779087306,0.816372424079334,0.970844563195336
1,1,1,1,0,1,1.11682489571865,1.11682489571865,1.25853950825551,1.58304054122056,1.00794856643525,1.20110264949022
1,1,1,1,1,1,0.853672260555716,0.853672260555716,1.06184432404012,1.11986070613689,0.794360508178818,0.921640189552176
1,1,1,1,0,1,0.937224404215653,0.937224404215653,1.07473862086568,1.4823276585008,0.893361209782497,1.10314747940253
1,1,1,1,1,1,0.777136717524392,0.777136717524392,0.924034737969675,0.962111481009568,0.836169718567003,1.03944392598243
1,1,1,1,1,1,1.0881186644113,1.0881186644113,1.20753063328087,1.70796705383168,1.01911961821386,1.224609871608
0,0,1,1,0,0,0.900527401440737,0.900527401440737,1.04574537609412,1.47246939678529,0.743397809161447,0.917455521786353
1,1,1,1,0,1,0.719995377771532,0.719995377771532,0.834368868387176,0.88445055400282,0.75808344837919,0.904315147504775
1,1,1,1,0,1,0.693672033334163,0.693672033334164,0.781200354897312,0.978875555469148,0.685868112852549,0.799328670650756
1,1,1,1,1,1,0.871801525782932,0.871801525782932,1.0246270063371,1.14933840464178,0.743138413246576,0.906029769392735
0,0,0,1,0,0,0.71530271401897,0.715302714018971,0.859049189704319,1.08311006687624,0.735982109598397,0.866226083007827
1,1,1,1,0,1,1.13665543086546,1.13665543086546,1.34161374778957,1.63706652014358,0.800866261512646,0.996887876500924
1,1,1,1,1,1,0.920683114718425,0.920683114718426,1.07209891136137,0.999399598808133,0.861153992378577,1.00096066292856
1,1,1,1,1,1,0.955653659425549,0.955653659425549,1.06422810386144,0.989754772762394,0.896969162474219,1.03734066990199
1,1,1,1,1,1,1.00572324144338,1.00572324144338,1.14384596438531,1.08960027733734,0.770671841605233,0.914796173314134
1,1,1,1,1,1,0.865804442111997,0.865804442111997,1.00459745589963,1.39082994971481,0.872616490271602,1.10841246027361
1,1,1,1,1,1,0.799418903653214,0.799418903653214,0.876413878655291,1.06295447778865,0.856381247516976,0.996295757469155
0,0,1,1,0,1,0.82204591806277,0.82204591806277,0.962728873095998,1.37280761572473,0.843721125790406,1.00732101563937
1,1,1,1,0,1,0.66189499624462,0.66189499624462,0.771625027769162,0.890156144938966,0.665241358074837,0.778037654280564
1,1,1,1,0,1,0.922327474108608,0.922327474108608,1.03265597154625,1.08835583686283,0.845701592848197,0.976155636779909
0,0,1,1,0,1,0.859334674405003,0.859334674405003,1.03100552959577,1.22549419270477,0.692418837030038,0.831929026475049
1,1,1,1,1,1,0.852852113251858,0.852852113251858,1.03551703486058,1.15503367609944,0.81763957696606,0.954493058659948
1,1,1,1,0,1,0.816091967496908,0.816091967496908,0.942096215051373,1.16007854498618,0.744602282772676,0.877606746588934
1,1,1,1,1,1,0.947250048744623,0.947250048744623,1.11099533844487,1.41320071105597,1.01702379622424,1.23389592415829
