"Conventional","Bias-Corrected","Robust","","","Conventional","Bias-Corrected","Robust","",""
1,1,1,1,1,0.803441957500065,0.803441957500064,0.984630790772329,1.22451436114431,0.83216333266006
0,0,0,0,1,0.704893285010967,0.704893285010967,0.800174934981259,0.835285409700959,0.671830380458642
1,1,1,1,1,0.698749835373409,0.698749835373409,0.801458722468738,0.841214346798343,0.669770531635899
1,1,1,1,1,0.805610030312551,0.805610030312551,1.01120865279351,1.06784024088861,0.659556836617597
1,1,1,1,1,0.581960999256339,0.581960999256339,0.695454839150606,0.671731489185626,0.615485204330743
1,0,1,1,1,0.683493864184157,0.683493864184157,0.797019169255619,0.91806667357299,0.761273914782511
1,1,1,1,1,0.766520034063724,0.766520034063724,0.923442793722179,0.995037330426552,0.650749456221571
1,1,1,1,1,0.758366382005953,0.758366382005953,0.920356647333767,1.41967669662109,0.643228587426307
1,1,1,1,1,0.735000593778776,0.735000593778776,0.843853907185966,0.805122865129953,0.655619654588512
1,1,1,1,1,0.88802484339627,0.88802484339627,1.05585608967146,0.970967527502953,0.606964918594168
1,1,1,1,1,0.751454722161358,0.751454722161358,0.83227084025792,0.857102421847611,0.708076075797343
1,1,1,1,1,0.748787630598373,0.748787630598373,0.862229814829114,1.03949266902363,0.692927223380937
1,1,1,1,1,0.773349727207912,0.773349727207912,0.921057642126872,0.981931478262711,0.66878931473219
1,1,1,1,1,0.903143662569017,0.903143662569017,1.08777043055615,1.55925854492924,0.762466703178653
1,1,1,1,1,0.839076574043633,0.839076574043633,1.02793667083391,0.976937534581028,0.696933652811513
1,1,1,1,1,0.937723066782295,0.937723066782295,1.11917471084066,1.12978232747933,0.800073150069042
1,1,1,1,0,0.702861104828313,0.702861104828313,0.822562605624874,1.00406098408552,0.599379317145675
1,1,1,1,1,0.768393681685186,0.768393681685186,0.92165639208116,1.12772865764857,0.752505887224517
0,0,1,1,1,0.809199441796042,0.809199441796042,0.970149455824091,1.21395504938,0.686017846360966
1,1,1,1,1,0.731549956607995,0.731549956607995,0.854729902427027,0.711848289984867,0.708611762208963
1,1,1,1,1,0.666248764891356,0.666248764891356,0.802203689764834,0.978208026611556,0.657380741639887
1,1,1,1,1,0.765290399945594,0.765290399945594,0.93207415287234,0.809079541924085,0.709504214609102
1,0,1,1,1,0.705863695884639,0.705863695884639,0.819412066777136,0.936445444168777,0.604323107203729
1,1,1,1,1,0.988970389039867,0.988970389039866,1.21932902572151,1.23423690333927,0.710999821221702
1,1,1,1,1,0.959282112452185,0.959282112452185,1.07549309866366,0.928897461188137,0.767300067461834
1,1,1,1,1,0.842011150179576,0.842011150179576,0.987180968379502,1.0115490350352,0.858151884146349
1,1,1,1,1,0.843249563568672,0.843249563568672,1.00210446691006,0.880326688693577,0.535997442226222
1,1,1,1,1,0.84287820615003,0.84287820615003,1.03906922054528,1.04246119946715,0.668535245714578
1,1,1,1,1,0.711641281721738,0.711641281721738,0.831448358673863,1.03139196624626,0.708168137909664
1,1,1,1,1,0.842599613475414,0.842599613475414,1.01501035440967,1.32132913552518,0.67795973357265
1,1,1,1,1,0.639732451365912,0.639732451365912,0.747704591554504,0.684637280470802,0.755799489497471
1,1,1,1,1,0.780589030016593,0.780589030016593,0.931635101279799,1.05713335813194,0.575689900923195
1,1,1,1,1,0.93562861151591,0.93562861151591,1.08422993139921,1.25333706009705,0.793112080571308
