"Conventional","Bias-Corrected","Robust","","","Conventional","Bias-Corrected","Robust","",""
1,1,1,1,1,1.3737334256896,1.3737334256896,1.60262701178851,1.76740681373766,1.21980594325538
1,1,1,1,1,1.49577935357589,1.49577935357589,1.82843475850354,2.11471185450042,1.27957336262435
1,1,1,1,1,1.64081322924307,1.64081322924307,1.92736894385973,2.07751314653549,1.41139512511808
0,0,0,0,1,0.890138249036922,0.890138249036922,1.03331354884402,1.17810599023555,1.04233370534874
1,1,1,1,1,2.4940521752553,2.4940521752553,3.06353295624068,3.88431658608901,1.53346221635615
1,1,1,1,1,1.15176442524514,1.15176442524514,1.37582538221369,1.17634549559099,1.16276411332475
1,1,1,1,1,0.977203633498211,0.977203633498211,1.13487564755143,1.35682774306838,1.08298772263713
0,0,0,0,0,1.3195090360666,1.3195090360666,1.53317958647251,1.71976806239052,1.27358137035683
1,1,1,1,1,1.44268438317966,1.44268438317966,1.74227758833122,1.91603987323471,1.21095657278192
1,1,1,1,1,1.57733417330598,1.57733417330598,1.93797643141258,1.96809199772426,1.31303119296387
0,0,0,0,1,1.52212908047388,1.52212908047388,1.71058443274147,1.92708051457642,1.40989976132749
1,1,1,1,1,1.23462540188287,1.23462540188287,1.45071927823273,1.47093332077336,1.20316007936083
0,0,0,0,1,1.23926169797747,1.23926169797747,1.38554148516403,1.43939129917113,1.14074228432655
1,1,1,1,1,1.26990449054106,1.26990449054106,1.52488689105182,1.761825238785,1.33797606335694
1,1,1,1,1,1.04101335060644,1.04101335060644,1.19746946424396,1.4874981294233,1.02070698285977
1,1,1,1,1,1.16247219771629,1.16247219771629,1.37242112209454,1.36271690198327,1.0791390376095
1,1,1,1,1,1.10627295313618,1.10627295313618,1.31701711869944,1.61562742286015,1.18228790821472
1,1,1,1,1,1.91126483250375,1.91126483250375,2.20613662773866,2.50299572816499,1.4296264645056
1,0,1,1,1,0.970097766810706,0.970097766810706,1.13176743235064,1.44044621897418,0.990781288567183
1,1,1,1,1,1.40997782987511,1.40997782987511,1.70845806663555,1.95098131642317,1.10834157018987
0,0,0,0,1,1.18325900945494,1.18325900945494,1.32396847280965,1.49725811019896,1.28712479418909
1,1,1,1,1,1.37664590880744,1.37664590880744,1.60922354866599,1.7055233966639,1.15181050489137
1,1,1,1,1,1.46606772444794,1.46606772444794,1.72895683029761,1.94435773655824,1.11392068650347
1,1,1,1,1,1.26171666774134,1.26171666774134,1.4786339018184,1.58790838238502,1.30012188664501
1,1,1,1,1,1.28409582818289,1.28409582818289,1.53120368339725,1.98810955221973,1.11165999044777
1,1,1,1,1,1.27998571734792,1.27998571734792,1.54258429437574,1.62696722278439,1.0734565732778
1,1,1,1,1,1.69183963502959,1.69183963502959,2.10640719405998,2.3532178510599,1.49395451646147
1,1,1,1,1,1.31181711613338,1.31181711613338,1.56091147462903,1.71546517969297,1.07577313513568
1,1,1,1,1,1.3945040727187,1.3945040727187,1.66138202756165,1.47129187478644,1.16130975914654
1,1,1,1,1,2.00575642760634,2.00575642760634,2.46486557195713,2.39809890500319,1.48819354037544
1,1,1,1,1,1.3306847909924,1.3306847909924,1.61675525369665,1.49560783941097,1.02932494283533
1,1,1,1,0,1.42418919128953,1.42418919128953,1.72941615055188,1.86940617269582,1.18858989433373
1,1,1,1,1,1.42630007200329,1.42630007200329,1.66527562459959,1.74241157799693,1.02654596467861
1,1,1,1,1,1.20008511928005,1.20008511928005,1.39264241237146,1.62813568653988,1.16416011634192
1,1,1,1,1,1.03937599790498,1.03937599790498,1.21227343481452,1.29103896794244,0.993550446205712
1,1,1,1,1,1.18390922905735,1.18390922905735,1.36352073161892,1.49472200583419,1.12314532717604
1,1,1,1,1,1.20407459001893,1.20407459001893,1.44699566244719,1.6864180435367,1.11229343284695
1,1,1,1,1,1.00640435748346,1.00640435748346,1.20675956293117,1.52452714540647,0.988553586073648
1,1,1,1,1,1.26737322072563,1.26737322072563,1.51428258693154,1.66196663885744,1.12159026259636
1,1,1,1,1,1.33781205397476,1.33781205397476,1.64558670047384,1.5688553625037,1.34541989894189
1,1,1,1,1,1.26638335968555,1.26638335968555,1.53234243867808,1.67766247963977,1.10343744938848
1,1,1,1,1,1.3076669988095,1.3076669988095,1.58336840329132,1.58069599406604,1.12629715564513
1,1,1,1,1,1.39637709100053,1.39637709100053,1.68339938679788,1.54865862217375,1.21587118170983
1,1,1,1,1,1.78413519217793,1.78413519217793,2.04638648024027,2.40120087540735,1.3733278058065
1,1,1,1,1,1.43363551757248,1.43363551757248,1.75633758771325,1.59138058694358,1.2113849655382
1,0,1,0,1,1.25033444975265,1.25033444975265,1.45041426923081,1.57517253803009,1.22431472631308
1,0,1,1,1,1.26063553899198,1.26063553899198,1.44171951309671,1.54076198911439,1.08469202910313
1,1,1,1,1,1.18916217661705,1.18916217661705,1.40279792933539,1.79132534932132,1.15732678670574
1,1,1,1,1,1.39723005089364,1.39723005089364,1.68939196789062,1.90375624505841,1.2707996889889
1,1,1,1,1,1.35665266922115,1.35665266922115,1.59543508377262,1.73234467399356,1.19341133265965
1,0,1,1,1,1.71897995490681,1.71897995490681,1.99051883091512,2.08800225205289,1.22260739269014
1,1,1,1,1,1.93250415807986,1.93250415807986,2.32458559421198,2.31916682149921,1.57894228252184
1,1,1,1,1,1.27660983545237,1.27660983545237,1.50909164921422,1.94402439481855,1.25679147757194
1,1,1,1,1,1.25795440614303,1.25795440614303,1.49999232449093,1.38404535710604,0.994012283062782
1,1,1,1,1,1.1501621938685,1.1501621938685,1.38355636299444,1.62362950904365,0.907473982658856
1,1,1,1,1,1.30160895975995,1.30160895975995,1.54310458699007,1.60029035219951,1.08377426469724
1,1,1,1,1,1.04555093986274,1.04555093986274,1.21249376773805,1.4675879055681,1.15531034653781
1,1,1,1,1,1.2182415994393,1.2182415994393,1.47401879014837,1.18997257101601,1.12803255240002
1,1,1,1,1,1.38471743850442,1.38471743850442,1.61780493912467,1.56870474071962,1.23805174397167
1,1,1,1,1,1.28906494329861,1.28906494329861,1.49192376613983,1.76135807612349,1.13642072980342
1,1,1,1,1,1.12679177577115,1.12679177577115,1.29609901005858,1.41045062352933,1.24841887742765
1,1,1,1,1,1.18727857153589,1.18727857153589,1.38969420198663,1.30114814037398,0.952998631823652
1,1,1,1,1,1.47120933000019,1.47120933000019,1.81121274494111,1.8680861235323,1.27858846826875
1,1,1,1,1,0.892132212880501,0.892132212880501,1.06466620231535,1.62856268628436,0.997838780913078
1,1,1,1,1,1.71230276245536,1.71230276245536,2.02892646790065,1.90958081310782,1.32382186846594
0,0,0,0,1,1.6430179245679,1.6430179245679,1.85841016249153,1.9487485872788,1.16559432682852
1,1,1,1,1,1.22871316675707,1.22871316675707,1.49464398465222,1.50634328625218,1.19040836390883
1,1,1,1,1,1.19873063407949,1.19873063407949,1.40332691545425,1.3512132992693,1.17497042209178
1,1,1,1,1,1.17923465510194,1.17923465510194,1.40333094265168,1.72196337310449,1.09197225878577
1,1,1,1,1,1.28815478202252,1.28815478202252,1.53460445305609,1.39171985904289,1.16002398950889
1,1,1,1,1,1.21660426675319,1.21660426675319,1.45411475739174,1.501428458435,1.09165186181339
1,1,1,1,1,1.35443136647932,1.35443136647932,1.61017750495463,1.9591090118928,1.42586817123418
0,0,0,0,1,1.71916211602457,1.71916211602457,1.98002728550174,2.33695145281646,1.77584588414944
1,1,1,1,1,1.48688235943455,1.48688235943455,1.68843168963438,1.34168650916516,1.05655183569456
0,0,0,0,0,1.25882870272791,1.25882870272791,1.43925511181161,1.48718872869803,1.1064055358091
1,1,1,1,1,1.31388307269936,1.31388307269936,1.55157675394825,1.40392806183328,1.17180827564071
1,1,1,1,1,1.30814889106419,1.30814889106419,1.49973783168794,1.53162746616905,1.15091296115739
0,0,0,1,0,1.57557496544293,1.57557496544293,1.80562031881455,2.05133306685039,1.44161108823072
1,1,1,1,1,1.2227805619124,1.2227805619124,1.41699686198112,1.38588294467283,1.16006446638529
1,1,1,1,1,1.17365843102713,1.17365843102713,1.34186214450434,1.36603821799427,1.15390716650248
1,1,1,1,1,1.351463758509,1.351463758509,1.62185312614911,2.25491965158194,1.2815481752098
1,1,1,1,1,1.76568930503694,1.76568930503694,2.10646643304465,2.22779488611439,1.34007146283729
1,1,1,1,1,0.897370262158892,0.897370262158892,1.06450695754394,1.28283525157861,1.02280946948861
1,1,1,1,1,1.3405391227484,1.3405391227484,1.61983270970111,1.78863079969742,1.09750167605612
1,1,1,1,1,1.49685588512015,1.49685588512015,1.69136799523333,1.62786588468857,1.05978575193239
1,1,1,1,1,1.4477612075046,1.4477612075046,1.74840121571449,1.53865461448674,1.22836312443787
1,1,1,1,1,1.28514262351927,1.28514262351927,1.51978542580386,1.43530105737848,1.18954116451195
0,0,0,1,0,1.2703929260669,1.2703929260669,1.54798805378984,1.96142842502524,1.1786774492527
1,1,1,1,1,1.75508075012177,1.75508075012177,2.10891782635497,2.99124900970553,1.46863921316685
1,1,1,1,1,1.05022009892053,1.05022009892053,1.24524833348328,1.25930994973876,0.927734095430966
1,1,1,1,1,1.10956520095104,1.10956520095104,1.30228302551138,1.50287411358718,1.1026128758268
1,1,1,1,1,1.38520053723531,1.38520053723531,1.67906322213886,2.15444850114236,1.13266314709279
1,1,1,1,1,1.63146875734397,1.63146875734397,1.94293079917899,2.07729696890233,1.27358056878336
1,1,1,1,1,1.61319639716601,1.61319639716601,1.89154852409838,2.10600980354843,1.09677011718551
1,1,1,1,1,0.917765774927545,0.917765774927545,1.05925550963028,1.15411563446743,0.999582505166912
1,1,1,1,1,1.62558869004281,1.62558869004281,1.91105099005248,2.59367864266441,1.56001239071907
0,0,0,1,1,1.43295944670288,1.43295944670288,1.69849184451508,1.73251075023671,1.33635982250648
1,1,1,1,1,1.19557594682525,1.19557594682525,1.40156162583293,1.62695556083988,1.16464028095636
1,1,1,1,1,1.46944998020421,1.46944998020421,1.76490842124339,1.8698481893228,1.18742544538535
1,1,1,1,1,1.48445064139593,1.48445064139593,1.80774915833453,1.67313751453586,1.30537069012557
1,1,1,1,1,1.37987126869608,1.37987126869608,1.62505420779507,1.53593611556493,1.29618049700375
1,1,1,1,1,1.11967770124408,1.11967770124408,1.3377553534616,1.48741628418957,0.99918632755741
1,1,1,1,1,1.98007012446487,1.98007012446487,2.36421464455868,2.58437883187895,1.33951611727646
1,1,1,1,1,1.21885284737133,1.21885284737133,1.46685211009625,1.74523200584847,1.19553960165198
1,1,1,1,1,1.28126500560189,1.28126500560189,1.48691360611312,1.44262788713437,1.1509189871567
1,1,1,1,1,1.24312472139921,1.24312472139921,1.43904678106367,1.4645192616856,1.21446633069781
1,1,1,1,1,1.29979260902989,1.29979260902989,1.52175533133954,1.66228194252656,1.14120823130993
1,1,1,1,1,1.41332673817732,1.41332673817732,1.72269008909283,1.95905046861642,1.27692885041346
1,1,1,1,1,1.9888051354612,1.9888051354612,2.35234541196077,3.25606808181859,1.89909339023621
1,1,1,1,1,1.54929695883501,1.54929695883501,1.81495466615498,2.29302643257931,1.27466871451149
1,1,1,1,1,1.37931933196287,1.37931933196287,1.64237583585437,1.53318749484669,1.2203227060991
1,1,1,1,1,1.20487774868602,1.20487774868602,1.41839989813968,1.21007213446037,1.1478034557251
1,1,1,1,1,1.11532804050202,1.11532804050202,1.33051193041533,1.03754488995439,1.05549864515942
1,1,1,1,1,1.68362541787965,1.68362541787965,2.03012742499403,2.87073288422237,1.40990290022312
1,1,1,1,1,1.63081536409987,1.63081536409987,1.90759417170922,2.50147857943683,1.32177992649794
1,1,1,1,1,1.34425750945392,1.34425750945392,1.57270325188864,1.8605814682433,1.27278825280598
0,0,0,0,0,1.27533917996688,1.27533917996688,1.48624230543462,1.35905675856194,1.05737382585783
1,1,1,1,1,1.31290413724021,1.31290413724021,1.5826476700976,1.85326167405217,1.13545692270053
1,1,1,1,1,1.53036552929794,1.53036552929794,1.80274739948136,2.20832866026919,1.40347558525264
1,1,1,1,1,1.54560350184034,1.54560350184034,1.78185996142431,1.96828093523669,1.61995735271127
1,0,1,1,1,1.5921167295159,1.5921167295159,1.87522103994633,1.80149757794363,1.16534105248818
1,1,1,1,1,1.46054157228052,1.46054157228052,1.76108862516858,1.91279639750261,1.33202439090649
1,1,1,1,1,1.11372166088735,1.11372166088735,1.29095496515932,1.62989463546543,1.18109608006379
1,1,1,1,1,1.47898663751146,1.47898663751146,1.75740481553452,1.61486500517961,1.09876777230262
1,1,1,1,1,1.44885486705516,1.44885486705516,1.68670977703108,1.78706149166044,1.4918893384635
1,1,1,1,1,1.67288042490349,1.67288042490349,2.02055133491241,2.07064933848443,1.20014486160179
1,1,1,1,1,1.05872109296661,1.05872109296661,1.24404482578306,1.32652532814505,0.999399683249456
1,1,1,1,1,1.55171932736478,1.55171932736478,1.79632284049279,2.05993756921628,1.31393279906198
1,1,1,1,1,1.32610395488766,1.32610395488766,1.57413000852965,1.38956470217609,1.10941604532852
1,1,1,1,1,2.3129634295882,2.3129634295882,2.67506943471072,2.93360154069072,1.41376957945212
1,1,1,1,1,1.45519261969895,1.45519261969895,1.76727919854389,1.81075343510956,1.19976639767892
1,1,1,1,1,1.88981429332383,1.88981429332383,2.17048220047151,2.20624912514025,1.33158903183805
1,1,1,1,1,1.66663032249049,1.66663032249049,1.97099701963645,2.51821058851893,1.49269520605786
1,0,1,1,1,1.68269659280414,1.68269659280414,1.99905409899447,2.09928807225197,1.13987781486473
1,1,1,1,1,1.6119412662149,1.6119412662149,1.92847498826862,2.32975182476462,1.49209598758106
1,1,1,1,1,1.55534643972757,1.55534643972757,1.90209431914818,1.91327928333265,1.36653884420067
1,1,1,1,1,1.13159365618823,1.13159365618823,1.33487660111874,1.60883388153775,1.23501753420658
1,1,1,1,1,1.20097346797225,1.20097346797225,1.4267984488732,1.78843729188127,1.12043036339
1,1,1,1,1,1.26067327961902,1.26067327961902,1.49341891304138,2.08838554647195,1.08448858554457
1,1,1,1,1,1.61784440203628,1.61784440203628,1.9277529300811,1.81098690801329,1.43495036808356
0,0,0,1,1,1.66622973892537,1.66622973892537,1.9848337013427,2.28622249117436,1.26209134854532
1,1,1,1,1,1.23866908396872,1.23866908396872,1.49919268650903,1.77680098836338,1.16182098533771
0,0,0,1,1,1.02987798904749,1.02987798904749,1.20733426929084,1.56337791209907,1.03220356592599
0,0,0,1,1,1.37721781102853,1.37721781102853,1.59630515902895,1.77774156914565,1.2260416517438
1,1,1,1,1,1.26225865089838,1.26225865089838,1.45792172906365,1.54996246279454,1.04383867811758
1,1,1,1,1,1.04725614240965,1.04725614240965,1.25341725339057,1.44751256490414,1.07497262446628
1,1,1,1,1,1.42985637336239,1.42985637336239,1.66980898074891,1.92611637764571,1.47681499842842
1,1,1,1,1,1.18411526961707,1.18411526961707,1.39365535511312,1.46987404402781,1.06610312310461
1,1,1,1,1,1.43151270527346,1.43151270527346,1.64159903337871,1.99058912818914,1.21204864375786
1,1,1,1,1,1.32053736016349,1.32053736016349,1.5993633293688,1.64560790144606,1.19142782654994
1,1,1,1,1,1.47842895707851,1.47842895707851,1.81133751888176,2.04034623554477,1.13771000948796
1,1,1,1,1,1.43596427052051,1.43596427052051,1.67298057339882,1.91622649443614,1.14677352402114
1,1,1,1,1,1.38128918401457,1.38128918401457,1.69060059493857,1.98863854913886,1.42335405827881
1,1,1,1,1,2.17106733179224,2.17106733179224,2.58473966278763,2.43638105684,1.56983141604103
1,1,1,1,1,1.34302076598916,1.34302076598916,1.60102976993134,1.96640836685753,1.26285941745197
1,1,1,1,1,1.24245479077697,1.24245479077697,1.47311445345275,1.75812115317413,1.28180311721822
1,1,1,1,1,1.31299395117382,1.31299395117382,1.51755080098501,1.43750313646731,1.11714939469642
1,1,1,1,1,2.1048897506708,2.1048897506708,2.47910739169401,2.70689331711929,1.79035873029583
1,1,1,1,1,1.25526494406407,1.25526494406407,1.52121099514932,1.62204138211153,1.11166598826407
1,1,1,1,1,1.03807770462583,1.03807770462583,1.25340771738966,1.14879033526403,0.950402946488127
1,1,1,1,1,1.24316618769672,1.24316618769672,1.48962121383756,1.5903325733774,1.13914505774836
1,1,1,1,1,1.45271568598788,1.45271568598788,1.77443111475291,2.05935141698204,1.60409366724847
1,1,1,1,1,1.20220429805059,1.20220429805059,1.37371706856414,1.50698104746807,1.21373278815422
1,1,1,1,1,1.52118048844452,1.52118048844452,1.8394983649297,1.91136784026839,1.24624910678826
1,1,1,1,1,1.20876786963614,1.20876786963614,1.45985477284003,1.65572137548943,1.09392255326572
1,1,1,1,1,1.25024243260845,1.25024243260845,1.47795851967939,1.40712053846747,1.18716074258049
1,1,1,1,1,1.19015526826415,1.19015526826415,1.44659449464761,2.57259191630371,1.42961334593232
1,1,1,1,1,1.35352536222869,1.35352536222869,1.54964444131723,1.50460975487615,1.08447439975253
1,1,1,1,1,1.28928161566642,1.28928161566642,1.48331399256378,1.54833005715556,1.08365634269014
1,1,1,1,1,1.09295660928617,1.09295660928617,1.28888968156955,1.56717405510944,1.22756421574009
1,1,1,1,1,1.38004277375268,1.38004277375268,1.70151280084376,2.23119634593263,1.27681424525204
0,0,0,1,1,1.89263059350225,1.89263059350225,2.21808713804175,2.65035887973089,1.46699910873219
1,1,1,1,1,1.26367874357403,1.26367874357403,1.49698311525866,1.85410098751157,1.11925922858098
1,0,1,1,1,1.75522918826791,1.75522918826791,2.0296106445934,2.09396912018429,1.31834856502926
1,1,1,1,1,1.75302262299172,1.75302262299172,2.10080319103663,2.5667329217936,1.38813368069294
1,1,1,1,1,1.47445460234768,1.47445460234768,1.81565625301643,1.7315552320203,1.34434146768464
1,1,1,1,1,1.12201964759757,1.12201964759757,1.34730132901803,1.08388912502444,1.02000231932855
1,1,1,1,1,1.33338617874613,1.33338617874613,1.53468597399892,1.48087530884072,1.19453055896272
1,1,1,1,1,0.988410966727867,0.988410966727867,1.17942860218646,1.35733123949349,1.06020812442234
1,1,1,1,1,1.14803245987754,1.14803245987754,1.37344009941862,1.74879666966902,1.15838942119701
1,1,1,1,1,1.43115615615596,1.43115615615596,1.68168467131397,1.54598825782357,1.26825687730358
1,1,1,1,1,1.25222105338185,1.25222105338185,1.47899198074339,1.46657801370395,1.26527733029514
1,1,1,1,1,1.34903562673261,1.34903562673261,1.58684486788331,1.63510579748374,1.10016499093165
1,1,1,1,1,1.30282114682484,1.30282114682484,1.52562256124414,1.59174115721603,1.07595298884099
1,1,1,1,1,1.72084560406805,1.72084560406805,2.09175665053759,2.32286943084707,1.27203210283372
1,1,1,1,1,1.35875775849838,1.35875775849838,1.67063650446209,1.77476735463955,1.2616878260681
1,1,1,1,1,1.12723705149439,1.12723705149439,1.31351346871538,1.47719477903216,1.26194617526716
1,1,1,1,1,1.86202501811887,1.86202501811887,2.277315116236,2.10872934878019,1.43774973878022
1,1,1,1,1,1.34152358242158,1.34152358242158,1.66619283571851,1.9573190481175,1.10341628648973
1,1,1,1,1,1.90420549998561,1.90420549998561,2.21397823248472,2.15416968270239,1.19153835096318
1,1,1,1,1,1.34221591671961,1.34221591671961,1.61057737367253,1.90840143644332,1.28556882434283
1,1,1,1,1,1.5828301107333,1.5828301107333,1.91295228774741,1.95831803180288,1.29277393224643
1,1,1,1,1,1.21416029444726,1.21416029444726,1.47119722070078,1.51710779750843,1.12292747152767
1,1,1,1,1,0.972637630445641,0.972637630445641,1.16026089695314,1.48363491768915,1.02566591671635
1,1,1,1,1,1.31279649282495,1.31279649282495,1.5456025044392,1.66681235649198,1.15686940429682
1,1,1,1,1,1.2776353894422,1.2776353894422,1.55305518545058,1.76069180834117,1.38473218115653
1,1,1,1,1,1.78849984677874,1.78849984677874,2.12996911190561,1.96684993383107,1.23751663206774
1,1,1,1,1,1.09165662858271,1.09165662858271,1.29375422874078,1.56036821100856,1.11219373685908
1,1,1,1,1,1.43427014202138,1.43427014202138,1.72387604676542,2.10028330527463,1.26679705205024
1,1,1,1,1,1.32527831839748,1.32527831839748,1.61046681273176,1.78697313921251,1.17723261572484
1,0,1,1,1,1.57472861806354,1.57472861806354,1.88154693633091,2.20392249060952,1.32247457923271
1,1,1,1,1,1.7960316607289,1.7960316607289,2.22457644009715,2.14870820499421,1.40046461969177
1,1,1,1,1,1.62736823955408,1.62736823955408,2.01250845725679,2.33623944229413,1.26915725550478
1,1,1,1,1,1.2192215243618,1.2192215243618,1.46562097058903,1.65170582359985,0.961910354359601
1,1,1,1,1,1.19768751558968,1.19768751558968,1.38943598921714,1.49059207913847,1.13015523240353
1,1,1,1,1,1.23199144498484,1.23199144498484,1.47188622504048,1.77951709637547,1.125351263472
1,1,1,1,1,1.44691113418835,1.44691113418835,1.75215361375093,1.85308162814026,1.06130000576222
1,1,1,1,1,1.41107683870848,1.41107683870848,1.63894430677499,1.67081210081545,1.20042756638181
1,1,1,1,1,1.35314396703606,1.35314396703606,1.64292566882401,1.67949054595843,0.989582650291794
0,0,0,0,1,1.74503607399386,1.74503607399386,1.95127636632973,2.25888023615486,1.32239389042662
1,1,1,1,1,1.47249570045042,1.47249570045042,1.70628753245584,2.11324831380761,1.28876145484626
0,0,0,0,1,1.15240202470267,1.15240202470267,1.31768009593179,1.56857249278063,1.45410074206882
1,1,1,1,1,1.21772648517417,1.21772648517417,1.4730155038096,1.62598453803507,1.11567752299326
1,1,1,1,1,1.30790525815319,1.30790525815319,1.5559793886337,1.84327443725454,1.2074006121301
1,1,1,1,1,1.42084805158741,1.42084805158741,1.67962052343612,1.90337473267526,1.47162769356299
1,1,1,1,1,2.14836095842678,2.14836095842678,2.57813927287983,2.81199341267361,2.08871655938297
1,1,1,1,1,1.18830449221419,1.18830449221419,1.38906887280243,1.70972447910025,1.2928504477128
1,1,1,1,1,1.45820554531766,1.45820554531766,1.764366032169,1.78889096463533,1.06768188200857
1,1,1,1,1,1.08942683867801,1.08942683867801,1.27674147314082,1.31651405966301,1.12185351416771
1,1,1,1,1,1.64068482097032,1.64068482097032,1.96263223512287,2.23836073097962,1.47201072606859
