"y","x","w"
0,-6.239118,0
0,-17.527387,0
4.1084633,6.447245,1
0,-2.92785,0
0,-13.573942,0
9.0440445,12.68635,1
4.9649968,4.073142,1
3.0577612,-25.13532,0
2.7555041,-16.420022,0
12.558869,-11.992475,0
0,-6.969392,0
0,2.910822,1
10.557804,-0.732225,0
0,-9.43292,0
0,-6.998693,0
5.7636886,-8.514329,0
0,-23.871778,0
0,3.762942,1
0,-7.499628,0
3.4018233,-12.889142,0
8.393487,5.709719,1
3.7777903,-11.117063,0
0,-18.519571,0
3.4520254,-0.989046000000002,0
0,-9.569684,0
0,-11.265985,0
0,-11.952592,0
0,-23.371652,0
0,-6.68485,0
0,-9.324399,0
4.7562428,-5.388898,0
8.9581652,18.58742,1
0,11.55836,1
7.2939458,4.858386,1
2.8747196,-13.165712,0
4.3614793,-7.098257,0
1.4783195,-28.357517,0
0,-12.252862,0
6.0412922,-23.898294,0
6.5789475,-2.427209,0
1.766098,-16.687669,0
0,-10.13054,0
6.3856959,17.748934,1
4.3256335,1.318835,1
2.8470075,-29.806905,0
0,3.986052,1
3.8317113,-6.438497,0
1.7736472,-18.060724,0
2.1056747,-27.215892,0
0,3.170558,1
5.0379248,-22.441835,0
3.6956735,-22.737031,0
6.6374617,15.93841,1
0,-0.282826999999997,0
0,2.7223,1
0,-8.477575,0
2.2016249,-9.200513,0
2.712085,-14.778322,0
0,-14.114633,0
0,14.644816,1
4.2081637,-13.855684,0
0,-18.526105,0
3.6667309,-18.628877,0
0,-14.541669,0
0,-4.974718,0
6.1236987,19.455882,1
0,-8.654672,0
4.762434,6.85550199999999,1
2.5927222,-34.327718,0
2.7553902,-24.422872,0
0,-29.980112,0
4.5326805,-23.367757,0
7.5924377,-36.274061,0
2.3802805,-38.270196,0
0,-34.535945,0
1.2644622,-7.197957,0
1.9967952,-38.966035,0
2.2202981,-20.204137,0
4.7129793,-23.450059,0
2.3063796,-35.930864,0
0,-34.290119,0
0,-13.295377,0
3.8424592,-11.986028,0
0,-14.038019,0
3.4035022,-19.793672,0
0,-15.115762,0
0,-8.205068,0
0,-0.399126000000003,0
8.9702187,-13.299928,0
0,8.144969,1
0,-12.062707,0
6.239471,-9.722009,0
8.6933842,-1.987421,0
0,-1.05166,0
0,-13.035863,0
11.731582,-6.982042,0
0,-17.567609,0
0,-13.108358,0
1.8716778,4.197497,1
0,1.545653,1
0,-1.609155,0
0,0.423735000000001,1
0,-3.27638,0
2.7902565,-13.816305,0
0,-8.979684,0
0,4.122122,1
6.1518273,-20.197278,0
0,-12.65944,0
0,-9.44449,0
5.1419168,-6.82052,0
4.5526977,-22.048952,0
0,-12.669996,0
4.2165627,-3.284749,0
0,1.291163,1
5.2918453,-12.591856,0
6.1227236,-11.308919,0
7.1772051,-5.766431,0
0,0.0996650000000017,1
0,1.363371,1
0,12.410273,1
0,3.242808,1
0,-3.953569,0
0,-4.138975,0
0,-3.94602,0
0,2.023409,1
0,-3.898481,0
0,-12.744962,0
1.6366345,-0.00935100000000233,0
29.895367,7.900912,1
0,-8.142522,0
10.430792,-1.365175,0
0,13.839259,1
0,-14.524774,0
15.092062,2.90235,1
2.632133,3.456858,1
0,-5.343526,0
0,-0.796456999999997,0
0,-11.437704,0
0,-12.254354,0
10.723861,-8.490854,0
2.001014,-30.723075,0
14.878738,-5.638944,0
2.9663029,9.991183,1
0,-30.076873,0
0,1.057139,1
0,5.252894,1
2.3476658,-28.051177,0
0,-16.058305,0
0,3.342116,1
0,8.397631,1
0,-22.595102,0
0,3.591635,1
2.6941469,-24.52886,0
0,-12.325399,0
9.7665787,7.076685,1
13.353809,-6.18094,0
136.05443,-26.485635,0
0,-42.613765,0
2.1441972,-40.03001,0
9.154994,-37.152484,0
