"Conventional_coverage","Bias.Corrected_coverage","rdrobust_coverage","RDHonest_coverage","plrd_coverage","Conventional_width","Bias.Corrected_width","rdrobust_width","RDHonest_width","plrd_width"
1,1,1,1,1,0.0580077473071634,0.0580077473071634,0.0705683844680915,0.112675769241207,0.0491862080087957
1,1,1,1,1,0.0602058156110703,0.0602058156110703,0.0743484689232626,0.132795773091413,0.0712895306502597
1,1,1,1,1,0.0555075226330773,0.0555075226330773,0.0681196258287535,0.136381038019489,0.0695680229436613
1,1,1,1,1,0.0661942416205646,0.0661942416205646,0.0789135800516631,0.125232727656809,0.0723636410242287
1,1,1,1,1,0.059918551665831,0.059918551665831,0.0739372613057834,0.12603499833272,0.071188617755633
1,1,1,1,1,0.0604207038221466,0.0604207038221466,0.0731887306848743,0.128168954906196,0.0479522598614246
1,1,1,1,1,0.0601930605728439,0.0601930605728439,0.0743014714026038,0.122537611843508,0.0711596905084226
1,1,1,1,1,0.0656749106579765,0.0656749106579765,0.078503375507637,0.13580324602904,0.0695324149262978
1,1,1,1,1,0.0603926411564344,0.0603926411564344,0.0734582861863274,0.138302767712311,0.0489809069374284
1,1,1,1,1,0.0591753856566797,0.0591753856566797,0.0726527298346347,0.126754244009225,0.0701897872134916
1,1,1,1,1,0.0651576306603248,0.0651576306603248,0.0787223627960485,0.121846038722557,0.0685371867885146
1,1,1,1,1,0.0573870245534909,0.0573870245534909,0.0700506364305236,0.122553441428298,0.0494797376074149
1,1,1,1,1,0.0705036354385293,0.0705036354385293,0.0820632265915064,0.133498748799446,0.0721135440801086
1,1,1,1,1,0.0560989558813994,0.0560989558813994,0.0688057841834797,0.133597149109924,0.0471914940275588
1,1,1,1,1,0.061633332512638,0.061633332512638,0.0761595506845882,0.141155274354625,0.0685284111350709
1,1,1,1,1,0.0567428103991521,0.0567428103991521,0.0694139444086814,0.120512488047877,0.0477058238577057
1,1,1,1,1,0.0561802254703002,0.0561802254703002,0.0659972320070286,0.133654521527238,0.0479146251563883
0,0,0,1,0,0.0509287201583744,0.0509287201583744,0.0604405627248862,0.133045302778811,0.0704438721925625
1,1,1,1,1,0.0516795625678701,0.0516795625678701,0.0624836263522229,0.120014911715435,0.0743328865854231
1,1,1,1,1,0.0653224022379699,0.0653224022379699,0.0789778054237125,0.124968286833082,0.0480834653858474
1,1,1,1,1,0.0587816689450957,0.0587816689450957,0.0723114549896248,0.116310070262268,0.0487918697620571
1,1,1,1,1,0.0605102060849212,0.0605102060849212,0.0741324249678017,0.127113689291572,0.0677072142997452
1,1,1,1,1,0.055193441953767,0.055193441953767,0.0674034579646785,0.131504748797263,0.0483290206401849
1,1,1,1,1,0.0508806470426609,0.0508806470426609,0.060136694250083,0.111639400359345,0.0723736924657468
1,1,1,1,1,0.0616182566086163,0.0616182566086163,0.0742283152924848,0.129209560526505,0.0491810114316511
1,1,1,1,1,0.060650444730125,0.060650444730125,0.0748502307046218,0.123906763560842,0.0470686862837928
1,1,1,1,1,0.0516506569255368,0.0516506569255368,0.0615097427514777,0.12671371530121,0.0730465525543404
1,1,1,1,1,0.0541345226531713,0.0541345226531713,0.0664398698075712,0.129823417191177,0.0714818184191422
1,1,1,1,1,0.0672988526677276,0.0672988526677276,0.0766355151702334,0.124002812548651,0.0473141152369815
1,1,1,1,1,0.0563636138363562,0.0563636138363562,0.0691284745558882,0.128033257301564,0.07041476032678
1,1,1,1,1,0.0593216817678979,0.0593216817678979,0.0713171445953443,0.126957185620155,0.0709075088088395
1,1,1,1,1,0.0591025821848078,0.0591025821848078,0.0727192290066097,0.118445262596559,0.0721799744475826
1,1,1,1,1,0.0548073453323588,0.0548073453323588,0.0673473287743674,0.12775841609895,0.0686725184901602
1,1,1,1,1,0.0591346086052415,0.0591346086052415,0.0726036245501954,0.125116339710824,0.0713010337724359
1,1,1,1,1,0.0652558872874683,0.0652558872874683,0.0784229958637786,0.126375625661008,0.0680537073095561
1,1,1,1,1,0.0529637252544826,0.0529637252544826,0.0633407983415002,0.137805221451632,0.0700092225378864
1,1,1,1,1,0.0483762605706958,0.0483762605706958,0.0581002033956193,0.121660827559331,0.0690947141942052
1,1,1,1,1,0.0610536209534323,0.0610536209534323,0.0737982500542112,0.124894743482165,0.0482389208877783
1,1,1,1,1,0.0542031953916557,0.0542031953916557,0.0655248712714731,0.122503622770602,0.0489882604535597
1,1,1,1,1,0.0588730311729443,0.0588730311729443,0.0705534909889346,0.124998030705222,0.0732386188302573
1,1,1,1,1,0.0522416677832011,0.0522416677832011,0.0620749166069374,0.124492593513727,0.0711346063726859
1,1,1,1,1,0.0522396724903201,0.0522396724903201,0.0633044670749209,0.11703569049373,0.0747127142246832
1,1,1,1,1,0.058337784501873,0.058337784501873,0.0709076392542599,0.121484749799803,0.0501718802035499
1,1,1,1,1,0.0590811723404503,0.0590811723404503,0.0713509024665553,0.120159140288637,0.0712281239327146
1,1,1,1,1,0.0595762775730538,0.0595762775730538,0.0730960076517131,0.12758132279669,0.0713128352640466
1,1,1,1,1,0.0614928567572231,0.0614928567572231,0.0729156394213696,0.128807015642762,0.0726761930628321
1,1,1,1,1,0.0610791189264237,0.0610791189264237,0.073952884837248,0.119011231323993,0.0672521359202497
1,1,1,1,1,0.054596835031949,0.054596835031949,0.0664108369623749,0.118272287471873,0.0756631738702705
1,1,1,1,1,0.0660268020008704,0.0660268020008704,0.0769800683060503,0.140024935446907,0.0487783410506264
1,1,1,1,1,0.0540085220770842,0.0540085220770842,0.066094716239429,0.1177913026272,0.0477721173433234
1,1,1,1,1,0.064285795570193,0.064285795570193,0.0771565016137679,0.122036874089521,0.0713600948981472
