"Conventional_coverage","Bias.Corrected_coverage","rdrobust_coverage","RDHonest_coverage","plrd_coverage","Conventional_width","Bias.Corrected_width","rdrobust_width","RDHonest_width","plrd_width"
1,1,1,1,1,0.0336568554237243,0.0336568554237243,0.0401631176497373,0.0496564838675508,0.041137395556932
1,1,1,1,1,0.0374131564102597,0.0374131564102597,0.0433146338129103,0.0493653266105092,0.0435744618648908
1,1,1,1,1,0.0343925375463799,0.0343925375463799,0.0407109434086986,0.057952569896283,0.0444623459863088
1,1,1,1,1,0.036766303988809,0.036766303988809,0.0440233302045857,0.0509762434929765,0.0450465471247314
1,1,1,1,1,0.0383695123546165,0.0383695123546165,0.0442876783259747,0.0576072016386969,0.0460471715646943
1,1,1,1,1,0.033580711911363,0.033580711911363,0.0403989610009921,0.0462244358575138,0.0417292390983073
1,1,1,1,1,0.0370978213595221,0.0370978213595221,0.0445968986806974,0.0582852966538196,0.0447571770647135
1,1,1,1,1,0.0374063444599677,0.0374063444599677,0.0451185119322142,0.0540142075621999,0.0462302159789343
1,1,1,1,1,0.0394541707559718,0.0394541707559718,0.0457516039224872,0.0583514078757612,0.0483690059538707
1,1,1,1,1,0.0377211273099904,0.0377211273099904,0.0453695986253982,0.0611877255686588,0.0475511472288421
1,1,1,1,1,0.037554376453114,0.037554376453114,0.0423421156505185,0.0476415376331182,0.0436852228649526
1,1,1,1,1,0.0367107418455184,0.0367107418455184,0.0433854470803615,0.0532973193954621,0.0448029719945036
1,1,1,1,1,0.040149902144525,0.040149902144525,0.045486767341312,0.0552617675895534,0.045225838202448
1,1,1,1,1,0.0325595146687093,0.0325595146687093,0.038794022799071,0.052298206650228,0.0425439580841759
1,0,1,1,1,0.0366559516514993,0.0366559516514993,0.0420571719075817,0.0453185631568546,0.0395607269235305
1,0,1,1,1,0.0393938500155962,0.0393938500155962,0.0466417386586875,0.0575670046652738,0.0485312481159933
1,1,1,1,1,0.0385011769027177,0.0385011769027177,0.0466243460098895,0.0694507210242881,0.0481608716250536
1,1,1,1,1,0.0335855622711839,0.0335855622711839,0.0397971820014607,0.049365578893778,0.0431879000688153
1,1,1,1,1,0.0395679483085594,0.0395679483085594,0.0476895884142833,0.0595952684082299,0.046572097251
1,1,1,1,1,0.0360139680362007,0.0360139680362007,0.0433899987181048,0.0627218869209667,0.0438493475912817
1,1,1,1,1,0.0338949581949079,0.0338949581949079,0.038494251942823,0.0483044735849574,0.0427792952688313
1,1,1,1,1,0.0342238192367332,0.0342238192367332,0.0404144132962107,0.055898555149355,0.0461445578949874
1,1,1,1,1,0.0351690318087025,0.0351690318087025,0.0407184765015359,0.0587258373760011,0.0457359623920081
0,0,0,1,1,0.0420559927733164,0.0420559927733164,0.047360187976784,0.0583974270332698,0.0418300969596669
1,1,1,1,1,0.0399157176289316,0.0399157176289316,0.0476313545803546,0.0597915789047661,0.0449514914511637
1,1,1,1,1,0.0385805542332964,0.0385805542332964,0.046276310725684,0.057212159442627,0.0472187282394398
0,0,0,1,0,0.0404194653001975,0.0404194653001975,0.0479455193291058,0.0561817301155164,0.0490391336104323
0,0,0,0,1,0.0438136231639071,0.0438136231639071,0.04878214926408,0.0580668487805712,0.0453531099061478
1,1,1,1,1,0.0406564373870811,0.0406564373870811,0.0482622744982734,0.0529605083508191,0.0458237222853801
1,1,1,1,1,0.042131237933629,0.042131237933629,0.0486728417713729,0.0575809505467961,0.047137709879827
1,1,1,1,1,0.0346005136214947,0.0346005136214947,0.0397445810920201,0.0531756832438165,0.0436553705412023
1,1,1,1,1,0.0355312584543876,0.0355312584543876,0.0427430656989989,0.05845186585617,0.0460016406397738
1,1,1,1,1,0.0393197672525098,0.0393197672525098,0.047475230153769,0.0548946169108012,0.0462459089256145
1,1,1,1,1,0.0371963168890519,0.0371963168890519,0.043618302083016,0.0526779715867655,0.0443626738386923
1,1,1,1,1,0.034327631533189,0.034327631533189,0.0408433027291519,0.0549917107341344,0.0454768407119743
1,1,1,1,1,0.0320514926273479,0.0320514926273479,0.0381923562434802,0.050290861731192,0.0418201550325184
1,1,1,1,1,0.0342955969016578,0.0342955969016578,0.0412017176763614,0.0571312454247061,0.0449418510527852
1,1,1,1,1,0.038132841442254,0.038132841442254,0.045858723212888,0.0526957390787911,0.0454384572092037
1,1,1,1,1,0.0373938693884004,0.0373938693884004,0.0452790942355528,0.0603583358394968,0.0468832333272533
1,1,1,1,1,0.0332862810029431,0.0332862810029431,0.0394031175766399,0.0511105646102834,0.0438360722034448
1,1,1,1,1,0.033709260742859,0.033709260742859,0.0402776424362179,0.0484754922932075,0.0440405868947342
1,1,1,1,1,0.0342235346183679,0.0342235346183679,0.040520395068776,0.0575501373789055,0.0433802294623779
1,1,1,1,1,0.0361446343293594,0.0361446343293594,0.0432899947408499,0.0493479108200834,0.0443218497726331
1,1,1,1,1,0.0406340927972646,0.0406340927972646,0.0489861989270728,0.055388392848169,0.0472947506294412
1,1,1,1,1,0.0405549993809826,0.0405549993809826,0.0473005463610462,0.0594350357701817,0.0505716313345896
1,1,1,1,1,0.0350077096960199,0.0350077096960199,0.0419123298833892,0.0585030156740032,0.0470809589686076
1,1,1,1,1,0.0395356949483339,0.0395356949483339,0.0467625672405518,0.0533073028085317,0.0456420430737553
1,1,1,1,1,0.0408310974506817,0.0408310974506817,0.0476714731453671,0.058421021110223,0.0460368297091296
0,0,0,1,1,0.0378072197447838,0.0378072197447838,0.0433266339163534,0.0564988951636934,0.0476943197952506
1,1,1,1,1,0.0369267491991566,0.0369267491991566,0.0445192354374937,0.0569143275765182,0.0442820952842965
1,1,1,1,1,0.0317641536331179,0.0317641536331179,0.0374218463268134,0.0543066599928563,0.0430578170645212
1,1,1,1,1,0.0346263580899904,0.0346263580899904,0.0415342881259667,0.0607376057150805,0.0458259715204698
1,0,1,1,1,0.0343693741127709,0.0343693741127709,0.0403178954460896,0.0523154346721609,0.0433765975459038
1,1,1,1,1,0.0366194096396271,0.0366194096396271,0.0433036048192624,0.0545904574092703,0.040595034225742
1,1,1,1,1,0.0388532700235297,0.0388532700235297,0.0469167670131535,0.0542307473415494,0.0460100798176018
1,1,1,1,1,0.0361125130982582,0.0361125130982582,0.0431208485648074,0.0553563832040123,0.0418599056974808
1,1,1,1,1,0.040621141874101,0.040621141874101,0.0490427035731157,0.056190703772544,0.0464628115023576
1,1,1,1,1,0.0365287129116248,0.0365287129116248,0.0438606807644789,0.0517891227673315,0.0445270580342654
