"Conventional_coverage","Bias.Corrected_coverage","rdrobust_coverage","RDHonest_coverage","plrd_coverage","Conventional_width","Bias.Corrected_width","rdrobust_width","RDHonest_width","plrd_width"
1,1,1,1,1,4.45244114353839,4.45244114353839,5.29304257431667,6.23787022650119,2.96012795287014
1,1,1,1,1,6.60900295542277,6.60900295542277,8.13045471858029,8.75902896161508,7.69784610376404
1,1,1,1,1,4.72570454813002,4.72570454813002,5.88296805334773,6.41197602657148,3.05510159043504
1,1,1,1,1,5.85799659177961,5.85799659177961,6.94096696792658,7.79909708846285,4.41903807748647
1,1,1,1,1,6.32911041228297,6.32911041228298,6.95907484974181,7.15862808150154,4.63575330442673
1,1,1,1,1,11.7240882880975,11.7240882880975,14.4310563909648,17.2273519468224,17.4657100223585
1,1,1,1,1,3.4593343981108,3.4593343981108,4.06999305970686,4.66701879466092,2.74276464562917
1,1,1,1,1,4.136722246801,4.136722246801,5.07852652285522,5.07778131411477,3.63217836339193
1,1,1,1,1,7.27197163673299,7.27197163673299,8.25372813839392,7.70139708209546,4.88564839604803
1,1,1,1,1,3.24817479442689,3.24817479442689,3.85243608449093,4.30429527732686,2.38413663812403
1,1,1,1,1,3.58795619246006,3.58795619246006,4.10993599879143,4.25274774244837,2.60078545054054
1,1,1,1,1,4.30203293665709,4.30203293665709,5.11599613949114,4.87382077717407,3.28746795769238
1,1,1,1,1,4.87567881520035,4.87567881520035,5.90693798694598,7.51917735995042,3.00320836347033
1,1,1,1,1,4.21700292541787,4.21700292541787,5.02658479453132,6.2203179024714,4.18066434262698
1,1,1,1,1,5.11433197903386,5.11433197903386,6.15302993804517,6.99952710608741,3.08435076974191
1,1,1,1,1,5.57204664656508,5.57204664656508,6.58618852432041,6.1110152008875,3.83412008885872
1,1,1,1,1,6.27974905817872,6.27974905817872,7.68107023885753,7.85887525973971,3.7430324090703
1,1,1,1,1,4.7091451314494,4.7091451314494,5.70059644750336,6.49735894613283,2.77380116446675
1,1,1,1,1,3.73021291436126,3.73021291436126,4.49811275073982,5.870653256978,4.25826195046262
0,0,0,0,1,5.28578392273979,5.28578392273979,5.6170617047556,5.59995169300972,4.39577164253675
1,1,1,1,1,5.04919452696358,5.04919452696358,5.90903178060955,9.06284583193573,2.86714383072276
1,1,1,1,1,4.61572037170222,4.61572037170222,5.63795355146523,6.20343491202233,2.34034659894908
1,1,1,1,0,3.5749197044355,3.5749197044355,4.28616058533434,5.81380032672822,4.56703312118923
1,1,1,1,1,4.44591033542161,4.44591033542161,5.4206966608869,5.8392020043157,3.77653827210266
1,1,1,1,1,5.41129484614046,5.41129484614046,6.33894009875119,7.58150312071076,4.20188857196381
1,1,1,1,1,7.1476848781333,7.1476848781333,8.26568654847622,7.96485763480698,3.51422328790568
1,1,1,1,1,4.70916079400423,4.70916079400423,5.63682332084599,5.83388325673406,3.37529743375615
1,1,1,1,1,5.28973545599967,5.28973545599967,6.47069587298708,7.87126345102801,2.5446056616301
1,1,1,1,1,2.6630747591146,2.6630747591146,3.09607283334815,4.66814450031427,1.99663323261886
1,1,1,1,1,4.05467560488699,4.05467560488699,4.88339709261509,5.18023801953493,6.20026170094664
1,1,1,1,1,3.95475284002607,3.95475284002607,4.62882703209434,4.54855954100461,2.48634297450048
1,1,1,1,1,11.407914863402,11.407914863402,14.0518846833863,11.5196663236589,5.50647634348048
1,1,1,1,1,4.75689986391892,4.75689986391892,5.70466037921676,7.34583034625517,2.51755240357411
1,1,1,1,1,4.56967639258508,4.56967639258508,5.42098741273937,6.56562790294306,6.13271347773569
1,1,1,1,1,4.87808341441004,4.87808341441004,6.0108217078871,6.57617188316695,3.04689792406255
1,1,1,1,1,7.4529008804901,7.4529008804901,9.09392237472047,9.55225891109405,4.74538606224009
1,1,1,1,1,6.17949083040209,6.17949083040209,7.53221922195105,8.39941521831467,3.51707800763333
1,1,1,1,1,4.68414200078617,4.68414200078617,5.55033586051422,4.80702188825072,2.84031163494341
1,1,1,1,1,6.12372100439857,6.12372100439857,6.92403246724634,9.27549153280807,6.65623485679918
1,1,1,1,1,5.99474010724432,5.99474010724432,6.74818863590883,7.9963303327671,3.80240320205447
1,1,1,1,1,5.97288722146267,5.97288722146267,7.18001751157012,8.84953327821467,3.29411404623743
1,0,1,1,1,3.72159260049247,3.72159260049247,4.24000632610404,5.10351252979028,2.34686382261203
1,1,1,1,1,4.6004431289927,4.6004431289927,5.26304461668001,6.75374501506904,5.85198971411001
1,1,1,1,1,11.6172751302251,11.6172751302251,13.9945994129576,16.307679393606,4.41569548649634
1,1,1,1,1,21.2116223395393,21.2116223395393,25.571009167182,28.4309230635287,6.13868837352492
1,1,1,1,1,8.91335099204808,8.91335099204808,10.9127157557928,14.7960872704501,5.72932331207867
1,1,1,1,1,7.30095495252427,7.30095495252427,7.594392217921,8.49191759279208,6.14783079892584
1,1,1,1,1,5.09968727224724,5.09968727224724,6.2560018109492,7.18612175418551,3.15640392244837
1,1,1,1,1,4.35828809851035,4.35828809851035,5.11964413424719,5.9878848079447,2.58845564630836
1,1,1,1,1,5.463106224531,5.463106224531,6.42929164215656,8.19567074046729,5.98916812867274
1,1,1,1,1,2.84231081993639,2.8423108199364,3.33679190557402,5.14343168722733,3.65812303748092
1,1,1,1,1,4.17692949781032,4.17692949781032,5.07189809748178,6.19502844729765,2.97573499075413
1,0,1,1,1,8.33921122569902,8.33921122569902,9.63368383929783,9.70797079564374,4.89582817666382
1,1,1,1,1,3.45761381194686,3.45761381194686,4.05829321712288,4.54864945477073,2.54167837376641
1,1,1,1,1,4.56455770423454,4.56455770423454,5.4248291155069,5.55893581262144,2.93708711329528
1,1,1,1,1,24.4454905670953,24.4454905670953,29.5725625244428,36.7711394858924,19.2294461089611
1,1,1,1,1,6.3846610958162,6.3846610958162,7.17306745900026,7.66101560059056,5.00754394616678
1,1,1,1,1,5.74116923947861,5.74116923947861,6.78039367167434,8.39232089761569,3.37370036129518
1,1,1,1,1,12.4355893807207,12.4355893807207,14.5459253622952,16.2093392097315,4.59177294376393
1,1,1,1,1,4.39488435781324,4.39488435781324,5.30330792356033,6.00133510322883,3.31632064761409
1,1,1,1,1,6.79910785816836,6.79910785816836,7.70636350796084,8.28029061893798,4.19379561511821
1,1,1,1,1,10.8346518412645,10.8346518412645,12.0530441569895,11.3140784928752,7.12905868819502
1,1,1,1,1,5.82968774955962,5.82968774955962,6.99606843767493,8.21684796866401,8.16679451709938
1,1,1,1,1,5.16053656069203,5.16053656069203,6.12868550727975,5.82309085553965,2.76957095944737
1,1,1,1,1,3.05806527683537,3.05806527683537,3.57663546535378,3.49724076394692,2.63227074632214
1,1,1,1,1,6.9365639756582,6.9365639756582,8.72296833909607,8.14083426336277,2.92358801536962
1,1,1,1,1,8.06409414671104,8.06409414671104,8.31022417166486,9.12029371927,6.03450996452296
1,1,1,1,1,3.70433429294281,3.70433429294281,4.6677506816181,6.32599566692064,4.3912951038224
1,1,1,1,1,4.97412472961459,4.97412472961459,5.95295020840597,8.05591158792283,2.71200094093942
1,1,1,1,1,5.50202576560395,5.50202576560395,6.66919808005771,7.63804109620266,4.1473632244359
1,1,1,1,1,3.72374924388752,3.72374924388752,4.49305214379895,5.61953384444956,3.04499303164295
0,0,0,1,1,4.15554862518332,4.15554862518332,4.99913394161093,5.2399737165315,3.13364653982659
1,1,1,1,1,6.29357984536782,6.29357984536782,7.25440531298774,7.55801184657181,2.84565991281001
1,1,1,1,1,4.54491155527613,4.54491155527613,5.43672008924283,5.04254500037883,3.17639077533154
1,1,1,1,1,5.56698311638254,5.56698311638254,5.59986689987424,6.47337504534871,5.82441512504231
1,1,1,1,1,5.36154387986058,5.36154387986058,6.224008920748,7.09526312274287,3.02827463874048
1,1,1,1,1,6.4907606570666,6.4907606570666,7.89331521820417,9.68948898140441,8.41834909907623
1,1,1,1,1,7.11804338208435,7.11804338208435,8.14134153748742,8.26311965619734,4.98797175757583
1,1,1,1,1,4.79534488652523,4.79534488652523,5.81308519957337,7.47013712424926,3.53344550275979
1,1,1,1,1,4.57488774883526,4.57488774883526,5.36260506753214,5.89030995826424,2.61468439451732
1,1,1,1,1,6.22493032949657,6.22493032949657,6.99621655192921,6.86128527907215,4.43085288420023
1,1,1,1,1,6.93333408160974,6.93333408160974,7.96403432382429,8.09474172660658,6.51262076903665
1,1,1,1,1,4.18498706269784,4.18498706269784,4.37349538411414,5.43624278762185,3.74173832508632
