"Conventional_coverage","Bias.Corrected_coverage","rdrobust_coverage","RDHonest_coverage","plrd_coverage","Conventional_width","Bias.Corrected_width","rdrobust_width","RDHonest_width","plrd_width"
1,1,1,1,1,0.0525695975570801,0.0525695975570801,0.0614883067314981,0.091075136432892,0.0581440303378547
1,1,1,1,1,0.0496612412588679,0.0496612412588679,0.0590513861934999,0.11660783472496,0.0599184681000142
1,1,1,1,1,0.0522073843256424,0.0522073843256424,0.0607989282191206,0.106811398523954,0.059967277291382
1,1,1,1,1,0.0479439065890656,0.0479439065890656,0.0574177013986429,0.102228455288341,0.0590391593411287
0,0,1,1,1,0.0462833622668878,0.0462833622668878,0.0556178070816838,0.118319408406247,0.0606287847388203
0,0,1,1,1,0.0450735915963727,0.0450735915963727,0.0543631801480823,0.105166774359642,0.057622861155903
1,1,1,1,1,0.0534515546969236,0.0534515546969236,0.062866507028055,0.108572942078584,0.0601554385822662
1,1,1,1,1,0.0488016369272241,0.0488016369272241,0.0584019901745165,0.103895233134149,0.0591046806150947
1,1,1,1,1,0.0534293684142144,0.0534293684142144,0.0613811447035957,0.107488075114881,0.0593170093494182
1,1,1,1,1,0.0553742608702008,0.0553742608702008,0.0628744683536453,0.10206956147061,0.0587156416460367
0,0,0,1,1,0.0448191278764156,0.0448191278764156,0.053807187219066,0.106088118918464,0.0597364721588707
1,1,1,1,1,0.0556202974564049,0.0556202974564049,0.0653503518187725,0.103570379249731,0.0615123091288448
0,0,0,1,1,0.0405446167503288,0.0405446167503288,0.0479704758157455,0.11247699174774,0.0596034920128846
1,0,1,1,1,0.0501725917468273,0.0501725917468273,0.0588423135443494,0.106022800310692,0.0589558440822804
1,1,1,1,1,0.0505563242538158,0.0505563242538158,0.0614905794520551,0.0994174602910675,0.0589258896138119
1,1,1,1,1,0.0505534338001288,0.0505534338001288,0.0601575203462034,0.11429897102908,0.0594659250191013
1,1,1,1,1,0.0513056478139058,0.0513056478139058,0.059218937483208,0.107728835602963,0.0602077878092611
1,1,1,1,1,0.0567376593963953,0.0567376593963953,0.0648250368914971,0.088614545265028,0.0575386823892589
0,0,1,1,1,0.048303248177305,0.048303248177305,0.0583723706624154,0.111081016388544,0.0596106874470706
1,1,1,1,1,0.047738558937847,0.047738558937847,0.0578495727795746,0.115293327350967,0.0610214356374189
