"Conventional_coverage","Bias.Corrected_coverage","rdrobust_coverage","RDHonest_coverage","plrd_coverage","Conventional_width","Bias.Corrected_width","rdrobust_width","RDHonest_width","plrd_width"
1,0,1,1,1,5.55126635579342,5.55126635579342,6.55616394748982,6.83851498647667,3.84408990740034
1,1,1,1,1,5.63015250048937,5.63015250048937,6.68144469780913,8.12901308779029,4.08893402044956
1,1,1,1,1,5.88947928319084,5.88947928319084,6.8071072234808,6.95034402740279,4.07233355538673
1,1,1,1,1,5.26344539117324,5.26344539117323,6.157177032471,6.62553481278175,3.51075167631525
1,1,1,1,1,5.93931680768135,5.93931680768135,7.09304486774136,6.7680987220996,5.5801828202597
1,1,1,1,1,5.38636667406427,5.38636667406427,6.28197164058689,6.73805129735575,4.23801119598864
1,1,1,1,1,5.8287129579133,5.8287129579133,6.96083371153452,6.09908585636154,3.90608719296028
1,1,1,1,1,5.68010594783684,5.68010594783684,6.82582683936146,7.76456433963601,7.17716950978785
1,1,1,1,1,5.81802267688925,5.81802267688925,6.88086223210071,8.42034942235076,4.09167028532609
1,1,1,1,1,7.3582469726492,7.3582469726492,8.41001541497979,7.54549887081107,4.30587995280976
1,1,1,1,1,6.20037194590904,6.20037194590904,7.24567617918364,9.86939415477161,3.70404563000696
1,1,1,1,1,5.42479729985895,5.42479729985895,6.30131795149592,7.04030885704028,4.27615608848376
1,1,1,1,1,5.45930705789617,5.45930705789617,6.42195219372686,7.03628409548233,4.25092460823602
1,1,1,1,1,6.60720950272685,6.60720950272685,7.98320282414957,7.10911671456418,4.22102931686544
1,1,1,1,1,5.25149186656354,5.25149186656354,6.14852545943074,6.35339045572848,5.58228746724017
1,1,1,1,1,7.98362958574323,7.98362958574323,9.5298945948233,9.69197024818889,4.27129969121717
1,1,1,1,1,5.78632482348844,5.78632482348844,6.90649469479683,6.98855938053055,4.10215558736802
1,1,1,1,1,6.84922414987643,6.84922414987643,8.19829216443385,9.53691672682488,4.0170701079828
1,1,1,1,1,5.36834067855044,5.36834067855044,6.31704514013084,7.91737224667782,3.83636940559427
1,1,1,1,1,6.17327307343808,6.17327307343808,7.24559685731516,8.34409619498255,6.97021065043649
1,1,1,1,1,6.12962370920266,6.12962370920266,7.22163975027168,6.36232290417113,5.66279462820227
1,1,1,1,1,5.24540618290119,5.24540618290119,6.15749935761451,6.01918334577004,5.68819270857499
1,1,1,1,1,6.42131288286034,6.42131288286034,7.71710112024737,8.35389650700344,6.2119391405746
1,1,1,1,1,6.11470866661049,6.11470866661049,7.21049616384466,7.3641869941661,6.34162158654239
1,1,1,1,1,6.3932424942088,6.3932424942088,7.65211006400907,9.2393284618885,4.11615483642317
1,1,1,1,1,5.79915213553113,5.79915213553113,6.83886833719259,7.35155626366487,4.07998702949302
1,1,1,1,1,5.35297170324539,5.35297170324539,6.25697704465056,6.21832512522907,5.4345457002388
0,0,0,1,1,6.14772563254293,6.14772563254293,6.98317482679224,7.36033222821663,7.15313839208572
1,1,1,1,1,6.44116631149024,6.44116631149024,7.55619214576291,7.94398556991815,4.41988357338586
1,1,1,1,1,5.36511263346091,5.36511263346091,6.2268138982564,7.68035314461775,3.75837560721359
1,1,1,1,1,6.27092791036235,6.27092791036235,7.49471701504636,7.54403986531496,4.15965398078239
1,1,1,1,1,6.71112471554708,6.71112471554708,8.11293924829969,8.07141437747388,4.45893553842836
1,1,1,1,1,6.31659819092817,6.31659819092817,7.37095093858357,9.07478268600187,3.83558926254738
1,1,1,1,1,7.572468715615,7.572468715615,8.81670617627742,6.59807576859494,4.23231955287386
1,1,1,1,1,5.97808921602096,5.97808921602096,7.12957145391012,8.37297415595804,4.12251210498826
1,1,1,1,1,6.26808198918042,6.26808198918042,7.4154911748449,8.96502197353097,4.00339562365392
1,1,1,1,1,7.11128242194402,7.11128242194402,8.26355519698781,10.6499643625716,4.40363975799877
1,1,1,1,1,6.44237210639639,6.44237210639639,7.70862196821392,8.71221545884047,4.14944496955014
1,1,1,1,1,6.43577576531874,6.43577576531874,7.68754849060706,6.43652318657533,4.05843363854419
1,1,1,1,1,6.77821596785454,6.77821596785454,8.19089577227956,8.22670191265824,4.12016966499155
1,1,1,1,1,7.62102693047036,7.62102693047036,9.0206327500561,10.3279511077565,4.00947447804323
1,1,1,1,1,5.9936098603191,5.9936098603191,6.95979240862803,8.62328165463658,4.21797861303433
1,1,1,1,1,5.34438363036171,5.34438363036171,6.26571790221358,6.04285899848835,3.94164098652925
1,1,1,1,1,6.50623908022399,6.50623908022399,7.706024075255,6.34628022077802,3.84628219739324
1,1,1,1,1,5.69304632922344,5.69304632922344,6.75879577854658,7.18572562577706,6.20148050988265
1,1,1,1,1,7.31002923214973,7.31002923214973,8.3316532735822,6.44001844469823,3.89395701239811
1,1,1,1,1,6.16685643645882,6.16685643645882,7.32038114991693,8.55872132569587,6.29670190776645
1,0,1,1,1,5.6323248839218,5.6323248839218,6.55630334227,8.42351294089232,5.69420514917844
1,1,1,1,1,5.74597251582478,5.74597251582478,6.88297952606389,6.95563782797962,4.02604666792957
1,0,0,1,1,8.71657761996224,8.71657761996224,9.82464534243825,11.0548252827076,4.02831227193693
1,1,1,1,1,7.2689335720466,7.2689335720466,8.62490888462746,9.39040980109536,4.71341312701775
1,1,1,1,1,7.58924645544373,7.58924645544373,8.92464614519227,11.0249160495407,6.66794931115072
1,1,1,1,1,6.71118828405226,6.71118828405226,8.02006976106287,8.5747578516666,4.36414838976957
1,1,1,1,1,7.01081911207066,7.01081911207066,8.46983506059196,8.58593604863572,4.12712547808284
0,0,0,0,1,6.3691339785746,6.3691339785746,7.37424809170891,7.28613798043568,4.22630296856449
1,1,1,1,1,5.85037656731123,5.85037656731123,6.98028374960383,6.19685398320249,4.1033355576183
1,1,1,1,1,7.59541759258412,7.59541759258412,8.89875831805598,8.64864843184334,4.11048236312363
1,1,1,1,1,5.70819567755486,5.70819567755486,6.8169350203466,7.75044655157867,3.97176124430505
1,1,1,1,1,6.76863092818391,6.76863092818391,7.88954584612821,9.92269785595223,4.34497664954416
1,1,1,1,1,5.36035050619299,5.36035050619299,6.31865190442586,6.49655753014183,4.06421907025644
1,1,1,1,1,6.45550984295869,6.45550984295869,7.90528771544365,8.50311798152505,3.82459626989793
1,1,1,1,1,7.27683600163328,7.27683600163328,8.88320551255772,10.640184355648,4.23441461229758
0,0,0,0,1,7.38738529878384,7.38738529878384,8.27687150235162,8.67453223699168,4.08943143012856
1,1,1,1,1,7.26913866889781,7.26913866889781,8.42140586992145,7.46077851383273,6.39267580134932
1,1,1,1,1,7.35074244383206,7.35074244383206,8.90834047833695,8.15522536243946,4.31926067549124
1,1,1,1,1,5.81104305152106,5.81104305152106,6.92804719160993,6.96929916328821,4.3845751020445
1,1,1,1,1,6.3651612148142,6.3651612148142,7.3946215163201,7.55789717219046,5.71899523562203
1,1,1,1,1,6.29600232805351,6.29600232805351,7.37816008306197,9.17128374813453,4.50721125848177
1,1,1,1,1,6.43575106114511,6.43575106114511,7.46019231882022,8.06714085568992,3.66664656884418
1,1,1,1,1,7.12784213813891,7.12784213813891,8.43005870964942,9.74408426284018,4.63457913159594
1,0,1,1,1,5.75698362509804,5.75698362509804,6.70775017088143,7.50218017378245,5.83187256067697
1,1,1,1,1,5.89715905828127,5.89715905828127,6.9073260584677,7.92775678244931,7.018866079125
1,1,1,1,1,5.53201660080626,5.53201660080626,6.51663428593918,6.69143023708054,6.06035246970448
1,1,1,1,0,7.2103087564587,7.2103087564587,8.6969727340499,8.23723357876637,6.09417347030729
1,0,1,1,0,5.58358637085843,5.58358637085843,6.56418565503416,6.08465638253726,4.05865909059577
1,1,1,1,1,4.83751121360714,4.83751121360714,5.5822438391993,6.00838299398119,4.07348001435236
1,1,1,1,1,6.14053010602083,6.14053010602083,7.21329279063194,5.52524964130893,4.03098997134529
1,1,1,1,1,6.08175945826379,6.08175945826379,7.16038662519181,9.08757508879113,4.16818828816983
1,1,1,1,1,6.3325418091275,6.3325418091275,7.46728112470732,6.86024663454974,6.22799428275067
1,1,1,1,1,6.449023477918,6.449023477918,7.70598043057717,6.88430839494216,3.82116526926287
1,1,1,1,1,5.40495648976988,5.40495648976988,6.31256328679655,6.97882123103605,3.95611015236729
1,1,1,1,1,6.63097613080001,6.63097613080001,8.03086901020452,8.99867717584775,4.13060757812673
1,1,1,1,1,5.73172889451403,5.73172889451403,6.71940831176986,7.28790920469129,3.93509415778618
1,1,1,1,1,5.72434749532115,5.72434749532115,6.74300853918874,7.90898621739995,4.17327374959421
1,1,1,1,1,6.71731460267526,6.71731460267526,8.08065177887586,6.71085476646213,3.73932704082992
0,0,0,0,1,8.81719245883548,8.81719245883548,10.0816463069893,9.55505527805784,4.41572413733983
1,1,1,1,1,6.10061845725596,6.10061845725596,7.14250889058311,7.28971349495199,4.0279901922954
0,0,0,1,1,7.14181636839331,7.14181636839331,8.25539120708421,6.84861952243635,4.02539972179515
1,1,1,1,1,6.86826138930367,6.86826138930367,8.1814755167319,10.7919999687256,4.29061762319518
1,1,1,1,1,6.6886498069978,6.6886498069978,7.9541747773901,7.53500250414124,6.29770064909415
1,1,1,1,1,5.28314249482173,5.28314249482173,6.10491681316464,7.4788948277683,4.18862498264944
1,1,1,1,1,6.44096096996264,6.44096096996264,7.63047625489282,6.16864063186313,3.89156027368116
1,1,1,1,1,6.60449352284418,6.60449352284418,7.9901576104318,8.15157071975019,4.3401041839631
1,1,1,1,1,6.77694843475349,6.77694843475349,7.8248859668349,8.10670878669885,4.21818568839017
1,1,1,1,1,6.23699746249741,6.23699746249741,7.36226856352141,6.61983266030609,3.9479567023025
1,1,1,1,1,6.38784390164343,6.38784390164343,7.55054115780168,8.19876738572171,5.84029193639442
1,1,1,1,1,6.61737904825301,6.61737904825301,7.88475673659046,8.30168167476762,4.06274186764834
1,1,1,1,1,5.71395145243425,5.71395145243425,6.67269728780143,6.96411952554399,4.18449662953822
1,1,1,1,1,5.34131877486182,5.34131877486182,6.40804800563187,6.4348781383028,3.54382370642287
1,1,1,1,1,6.78555855230195,6.78555855230195,8.05192845941673,7.6706870878648,4.48669799595092
