"Conventional_coverage","Bias.Corrected_coverage","rdrobust_coverage","RDHonest_coverage","plrd_coverage","Conventional_width","Bias.Corrected_width","rdrobust_width","RDHonest_width","plrd_width"
1,1,1,1,1,0.166495571473669,0.166495571473669,0.22613870700895,0.23618906798689,0.121923704022441
1,1,1,1,1,0.191765883789787,0.191765883789787,0.264637310329999,0.268278286232895,0.124062301868114
1,1,1,1,1,0.186267839179747,0.186267839179747,0.239501928743613,0.269696282609864,0.123353957014139
1,1,1,1,1,0.19190449262202,0.19190449262202,0.265840537974404,0.299954234648236,0.120796086994165
1,1,1,1,1,0.19059798156059,0.19059798156059,0.266189818375503,0.320166620695619,0.128346268117928
1,1,1,1,1,0.198205553953017,0.198205553953017,0.283673417533068,0.362018023371126,0.124271565258997
1,1,1,1,1,0.187241078007116,0.187241078007116,0.256720567895851,0.234146083617853,0.120864880335274
1,1,1,1,1,0.19842839284974,0.19842839284974,0.272571837170482,0.235112434777305,0.124827776955341
1,1,1,1,1,0.186724451456196,0.186724451456196,0.258196884448593,0.353458104054514,0.129843925114469
1,0,1,1,1,0.193376429505281,0.193376429505281,0.262961599361156,0.278873062393434,0.121649362746511
1,1,1,1,1,0.204502005903685,0.204502005903685,0.276121516608683,0.275480468690396,0.120204488318838
0,0,0,0,1,0.216069278700909,0.216069278700909,0.282658806503633,0.212127052937577,0.124451885448166
1,1,1,1,1,0.191499530721561,0.191499530721561,0.261604497700527,0.30976332100724,0.124528278212827
1,1,1,1,1,0.154915766800081,0.154915766800081,0.202351024150887,0.202721032989522,0.120000662322779
1,0,1,1,1,0.200020045209134,0.200020045209134,0.269530568736194,0.234222422024516,0.125791489084049
1,0,1,1,1,0.182611128079638,0.182611128079638,0.254190318712461,0.285127466706517,0.119519317421678
1,1,1,1,1,0.15714000274078,0.15714000274078,0.205545345048748,0.219738127467523,0.122478815888961
0,0,0,1,1,0.237060220461795,0.237060220461795,0.305646710762804,0.476606902599718,0.117531528619317
1,1,1,1,1,0.195097654538823,0.195097654538823,0.273230708225992,0.264116154632991,0.123290712091392
1,1,1,1,1,0.161961360925635,0.161961360925635,0.213427767784829,0.287367055134481,0.125689192705443
1,1,1,1,1,0.203748057918629,0.203748057918629,0.279449254357631,0.259514014993214,0.12611682086478
1,1,1,1,1,0.165114011472185,0.165114011472185,0.222915832392361,0.175906920616489,0.118350615381275
1,0,1,1,1,0.165003392677448,0.165003392677448,0.21004307839515,0.310678983176569,0.121532481448486
1,1,1,1,1,0.160263336833512,0.160263336833512,0.215633409543481,0.230782032891617,0.120807935755047
1,1,1,1,1,0.169398071129414,0.169398071129414,0.224902396375657,0.313595689564749,0.122388998283163
1,1,1,1,1,0.178933069338934,0.178933069338934,0.250450433148403,0.340344205146051,0.124801682031865
1,1,1,1,1,0.152535213729223,0.152535213729223,0.200295837726971,0.276134656782347,0.12169267730691
1,1,1,1,1,0.190609047820996,0.190609047820996,0.266177896846314,0.359757410031406,0.129000901945237
1,1,1,1,1,0.172137051765788,0.172137051765788,0.224689689767404,0.183974818862337,0.121293522275142
1,1,1,1,1,0.186552034241707,0.186552034241707,0.245982169078112,0.304590531616507,0.123287517677398
1,1,1,1,1,0.198118523205675,0.198118523205675,0.274175889317985,0.364483067473464,0.119142357783516
1,1,1,1,1,0.169932003169309,0.169932003169309,0.222543943888265,0.284591054373997,0.124098584047999
0,0,0,1,1,0.240908824095824,0.240908824095824,0.308209727696669,0.487114506818713,0.123132522833702
1,0,1,1,1,0.204154183102293,0.204154183102293,0.26921435587941,0.287450233531306,0.121905483757739
1,1,1,1,1,0.185679307278874,0.185679307278874,0.259241323784125,0.323676767178189,0.123803087196131
1,1,1,1,0,0.193954212767362,0.193954212767362,0.271298723329893,0.278887437150589,0.12367268555969
1,1,1,1,1,0.180418369718617,0.180418369718617,0.24932317160369,0.225251817096768,0.127011940232005
1,1,1,1,1,0.158950166868917,0.158950166868917,0.208086986084297,0.272927100500968,0.121787434612359
1,1,1,1,1,0.183061325240741,0.183061325240741,0.239641135386756,0.418789537996489,0.126240081828742
1,1,1,1,1,0.18553954205136,0.18553954205136,0.258094791909973,0.363215776184032,0.120320352891632
1,0,1,1,1,0.200075005068716,0.200075005068716,0.265358860557591,0.262728350554466,0.118677495837527
1,1,1,1,1,0.189175569311971,0.189175569311971,0.263415557481892,0.288474394792652,0.124756247512882
1,1,1,1,1,0.181709057496083,0.181709057496083,0.242161838364953,0.380584480169863,0.123088938521049
1,1,1,1,1,0.182816023089243,0.182816023089243,0.237541821894492,0.244351250516103,0.12822188823609
1,1,1,1,1,0.171140375431885,0.171140375431885,0.230022444936816,0.288030968370709,0.122733269887132
1,1,1,1,1,0.162778833880533,0.162778833880533,0.219917194045267,0.209635393388675,0.128487851742012
1,1,1,1,1,0.183935824664331,0.183935824664331,0.253893663562261,0.171676186949835,0.11719001953667
1,0,1,1,1,0.192245374935324,0.192245374935324,0.255541068188679,0.329127810430943,0.122196664977917
1,1,1,1,1,0.191339437208838,0.191339437208838,0.2680994540087,0.276669691945421,0.124978056065487
1,1,1,1,1,0.194558282877441,0.194558282877441,0.266984777330078,0.228971193676057,0.128553922096132
1,1,1,1,1,0.192313589655688,0.192313589655688,0.265034515912521,0.316794120991031,0.130083249058343
1,1,1,1,1,0.191277218900915,0.191277218900915,0.264552033896199,0.292408088455154,0.127695551283833
1,1,1,1,1,0.184696445051479,0.184696445051479,0.235405388695762,0.263762374797254,0.124867659028594
1,1,1,1,1,0.184369948990716,0.184369948990716,0.254649740968145,0.402392210567972,0.129414342501244
1,1,1,1,1,0.155091938540773,0.155091938540773,0.200860898451739,0.250749870628093,0.119295069249853
1,1,1,1,1,0.187844164531583,0.187844164531583,0.259832609967322,0.315323022672415,0.123260330785386
1,1,1,1,1,0.188167059390007,0.188167059390007,0.263976454214875,0.261601059720291,0.123828090788277
1,1,1,1,1,0.161339404397808,0.161339404397808,0.209522318896689,0.352385733752878,0.122106931576901
1,1,1,1,1,0.193664237830087,0.193664237830087,0.268329367663936,0.339283275812529,0.121371542303906
1,0,1,1,1,0.181274804214125,0.181274804214125,0.244904281133304,0.387991413701248,0.12051452027054
1,1,1,1,1,0.189066682061829,0.189066682061829,0.261212692132002,0.373480529238572,0.119963695136544
1,1,1,1,1,0.155793148111357,0.155793148111357,0.209500838892261,0.252550754055803,0.11820266054149
1,1,1,1,1,0.183579260297579,0.183579260297579,0.239526711189502,0.455097534252692,0.120152275094034
1,1,1,1,1,0.161778914193225,0.161778914193225,0.210853018831366,0.352236751422402,0.129416579507544
1,1,1,1,1,0.170123842041903,0.170123842041903,0.22945029922555,0.405435999161114,0.122034593579723
1,1,1,1,1,0.188300717591714,0.188300717591714,0.262543434721263,0.203107469973299,0.122952840510613
1,1,1,1,1,0.194156695618856,0.194156695618856,0.267583344082542,0.321346610204713,0.123694327774854
1,0,1,1,1,0.186735629295625,0.186735629295625,0.247143732494011,0.293103048071335,0.124736331187669
1,1,1,1,1,0.187498036562632,0.187498036562632,0.252846640166406,0.347342589756939,0.120291848708767
1,1,1,1,1,0.242037810344099,0.242037810344099,0.299047042991594,0.262106642315389,0.123553347814858
1,1,1,1,1,0.202456534637534,0.202456534637534,0.276304876353506,0.253061255624254,0.124715404941279
1,1,1,1,1,0.186902819373369,0.186902819373369,0.249778267071246,0.277270224715842,0.124345780262027
1,1,1,1,1,0.192535573962369,0.192535573962369,0.265779637068389,0.24372593238677,0.122281849999343
1,1,1,1,1,0.189956530752152,0.189956530752152,0.264321600658635,0.635982753768821,0.125188991695558
