"Conventional","Bias.Corrected","Robust","X","X.1","X.2","X.3","X.4","X.5","Conventional.1","Bias.Corrected.1","Robust.1","X.6","X.7","X.8","X.9","X.10","X.11"
1,1,1,1,1,1,1,1,1,0.19411841541596,0.19411841541596,0.26854059564495,0.200526493269299,0.184741595761813,0.393816421479857,0.216006257154189,0.229852854431825,0.180897368413907
1,1,1,1,1,1,1,1,1,0.177973643539846,0.177973643539846,0.235410199717139,0.27853308506344,0.214445982521275,0.512389338383971,0.198041079877758,0.243261342212555,0.180214443470116
1,1,1,1,1,1,1,1,1,0.16142787160562,0.16142787160562,0.210108000768319,0.270622768395607,0.183912931765825,0.407304158175616,0.179629687740744,0.210207375298827,0.188692710960499
1,1,1,1,1,1,1,1,1,0.176864341803588,0.176864341803588,0.234097042449917,0.338780578269415,0.179683747944934,0.357962796928413,0.196806698711034,0.20757295992305,0.179752456772417
1,1,1,1,1,1,1,1,1,0.191376466057567,0.191376466057567,0.267500361565423,0.262926568576847,0.201766488530128,0.50971032325141,0.212955139016099,0.237854038766988,0.19269976305757
1,1,1,1,1,1,1,1,1,0.193295006932294,0.193295006932294,0.268241564759227,0.244171882884407,0.178152861263133,0.35854129789307,0.215090005162925,0.204519322588015,0.183799781099067
1,1,1,1,1,1,1,1,1,0.191989112298104,0.191989112298104,0.268671533113502,0.189319085499316,0.192659838890877,0.366614646227361,0.213636864246002,0.216575774066025,0.18684173751238
1,0,1,1,1,1,1,1,1,0.189740331563085,0.189740331563085,0.268383410714714,0.299939005997675,0.173833172113292,0.50161067065726,0.211134522009739,0.1920633641747,0.179841686046679
1,1,1,1,1,1,1,1,1,0.167051750819316,0.167051750819316,0.221274017602311,0.357824486634716,0.183986097952501,0.291603175551231,0.185887688029046,0.212015233382421,0.186689443098642
1,0,1,1,1,1,1,1,0,0.174720800659978,0.174720800659978,0.232589992221139,0.362532709811273,0.174216226034277,0.500360978633341,0.194421462367047,0.202055721167049,0.178418244711428
0,0,0,1,1,0,0,1,0,0.19453043835072,0.19453043835072,0.269524145509452,0.3603425068221,0.179708704545586,0.512676546501736,0.216464737777,0.233715256465469,0.179761021804923
1,1,1,1,1,1,1,1,1,0.196067655279969,0.196067655279969,0.273866380360437,0.286030994663697,0.22515910952974,0.361888545816928,0.218175283757966,0.201002087355178,0.185319124611718
1,0,1,1,1,1,1,1,1,0.252994981783032,0.252994981783032,0.350920390943671,0.450909595385936,0.238110537293479,0.376806401366967,0.281521456769792,0.272665423281338,0.181723012242916
1,1,1,1,1,1,1,1,1,0.189637650312516,0.189637650312516,0.266115692305156,0.411256614041494,0.178602232898565,0.343267946088283,0.211020262924284,0.17302319947817,0.200819038840653
1,1,1,1,1,1,1,1,1,0.189394573655648,0.189394573655648,0.243498591235717,0.29722272062047,0.214073097289808,0.367848620219431,0.210749778134167,0.247327997166918,0.185021674594754
1,1,1,1,1,1,1,1,1,0.205095081808003,0.205095081808003,0.277334557452841,0.292678274617662,0.173861471222371,0.363115309303591,0.228220598685334,0.238436127251419,0.187669581931965
1,1,1,1,1,1,1,1,1,0.190316033337462,0.190316033337462,0.265143316631147,0.283975863524274,0.209410347402041,0.496261322292751,0.211775137096431,0.231601821946528,0.185228584419992
1,0,1,1,1,1,1,1,1,0.260473604704731,0.260473604704731,0.340995678915707,0.424998569643942,0.227196200406854,0.374576211008637,0.289843332582152,0.259607750894826,0.19289703001591
1,1,1,1,1,1,1,1,1,0.191580844634962,0.191580844634962,0.263119337752558,0.273821129816634,0.175819422251908,0.509323231324094,0.213182562320842,0.218619657310888,0.195807694779293
1,1,1,1,1,1,1,1,1,0.250806211458683,0.250806211458683,0.316047457462583,0.370132052023015,0.199134988194828,0.506998253582486,0.279085891424178,0.228184068877434,0.183824225098704
1,1,1,1,1,1,1,1,1,0.187535136069653,0.187535136069653,0.260770861877792,0.177529586406006,0.24135399241436,0.28750432583512,0.208680679473425,0.235659468292737,0.181521616981106
1,1,1,1,1,1,1,1,1,0.22325082308928,0.22325082308928,0.290235468261024,0.34754304730996,0.215602420588929,0.353744784518394,0.248423492427409,0.233735886749045,0.180073527022967
1,1,1,1,1,1,1,1,1,0.191418675749686,0.191418675749686,0.251335925118954,0.347355652153343,0.189061365632353,0.511880852325966,0.21300210806636,0.218122576377198,0.181092370655388
1,1,1,1,1,1,1,1,1,0.248094511409804,0.248094511409804,0.321148044251761,0.436462957206308,0.212507832811102,0.346942754117398,0.276068433359583,0.242819368843333,0.188505008511877
1,1,1,1,1,1,1,1,1,0.167721930060057,0.167721930060057,0.217743606050725,0.295797192008866,0.200590738365388,0.356952737022515,0.186633433398461,0.240223100511737,0.18571098069165
1,0,1,1,1,1,1,1,1,0.214389921792148,0.214389921792148,0.285002966204354,0.262812403750098,0.174389575321801,0.506163462516333,0.238563479300344,0.200535498236197,0.188439670778391
1,1,1,1,0,1,1,1,0,0.186663968908479,0.186663968908479,0.25059892895686,0.304665094687226,0.166079385010216,0.506416227791814,0.207711283770098,0.185480186871727,0.179028283731874
1,1,1,1,1,1,1,1,1,0.192291378603652,0.192291378603652,0.248388515830405,0.317048143295044,0.219051177167618,0.311236825842654,0.213973212619676,0.251385858896849,0.19562581318494
1,1,1,1,1,1,1,1,1,0.172543857364275,0.172543857364275,0.231964768329363,0.333754373051251,0.2177096248423,0.406854329525415,0.1919990576079,0.249118186162795,0.181601702026745
1,1,1,1,1,1,1,1,1,0.167386894281593,0.167386894281593,0.216973475690723,0.24843449238949,0.167934872919856,0.349396968129294,0.186260620626609,0.180314271743039,0.183827544026848
1,1,1,1,1,1,1,1,1,0.198135939382864,0.198135939382864,0.270332210823246,0.281036596837792,0.196260065437197,0.36098605454781,0.220476777445931,0.21161766453318,0.196274170971776
1,1,1,1,1,1,1,1,1,0.162396407721196,0.162396407721196,0.211498195504021,0.278505275117745,0.190024569942007,0.290617042845191,0.180707431244862,0.240785358519141,0.18522144668074
1,1,1,1,1,1,1,1,1,0.19450354530589,0.19450354530589,0.270665717790831,0.219894194846913,0.196996058372798,0.284647093041654,0.216434812404157,0.228876825657745,0.181141891199862
1,0,1,1,1,1,1,1,1,0.248574723137672,0.248574723137672,0.322290764899067,0.440449534429058,0.230506130057237,0.3580603235462,0.276602791409828,0.263835884285863,0.180932053024715
1,1,1,1,1,1,1,1,1,0.193592414499183,0.193592414499183,0.271234442794293,0.3287695076403,0.154340121165145,0.354323962926622,0.215420946950366,0.181169034361105,0.185822031629652
1,1,1,1,1,1,1,1,1,0.16685938366779,0.16685938366779,0.217863267390582,0.224561672801933,0.186601973565572,0.362462207436688,0.185673630499719,0.225374076421764,0.193676255249374
1,0,1,1,1,1,1,1,1,0.189809705340054,0.189809705340054,0.268086826211511,0.425325338348423,0.194551201577427,0.355197489862275,0.211211718034009,0.220684100356304,0.187046538428228
