"Conventional","Bias.Corrected","Robust","X","X.1","X.2","X.3","X.4","X.5","Conventional.1","Bias.Corrected.1","Robust.1","X.6","X.7","X.8","X.9","X.10","X.11"
1,1,1,1,1,1,1,1,1,0.0334477653335593,0.0334477653335593,0.0394037926339859,0.0463596911345662,0.0333073164596815,0.0436824363924346,0.037219171526782,0.0385544072041288,0.0366189259608352
1,1,1,1,1,1,1,1,1,0.0337744739824727,0.0337744739824727,0.0400764906224605,0.0468606974491492,0.0332036742954055,0.0458067384083887,0.0375827182427413,0.0386723750335477,0.036494385987595
1,1,1,1,1,1,1,1,1,0.0368470743599105,0.0368470743599105,0.0440007893571596,0.0550553540987621,0.0369319710453619,0.052028370553625,0.0410017699892678,0.0433939579698053,0.0386447290881864
1,1,1,1,1,1,1,1,1,0.0442481838606729,0.0442481838606729,0.0504000076421186,0.0524936741596758,0.0352780500455023,0.0474275961537916,0.0492373923470039,0.0418912177982633,0.0411507655296349
1,1,1,1,1,1,1,1,1,0.035957149199905,0.035957149199905,0.0424428568539009,0.0565162961041234,0.0341093369217946,0.0451653253962691,0.0400115012270372,0.0401941127758051,0.0389978005798028
1,1,1,1,1,1,1,1,1,0.0386991081271362,0.0386991081271362,0.0455546659538361,0.054498791877185,0.0372416284913547,0.0501416973804363,0.0430626300129001,0.0434005873207464,0.0383952379028605
1,1,1,1,1,1,1,1,1,0.0382979679216766,0.0382979679216766,0.0457204070527503,0.0516198563609169,0.0353345636769937,0.0515210219512446,0.0426162592026412,0.0416722754168726,0.037255405031047
1,1,1,1,1,1,1,1,1,0.0382531365675997,0.0382531365675997,0.0459394457329521,0.0499409634674348,0.0357445838596149,0.0525126229181439,0.0425663728846607,0.0424866069138818,0.0403639870555417
1,1,1,1,1,1,1,1,1,0.0331078450431408,0.0331078450431408,0.0395572498733801,0.04977752928862,0.0343720552685869,0.0445979363270837,0.0368409234893317,0.0403318935383482,0.0372551901652822
1,1,1,1,1,1,1,1,1,0.0355193217646965,0.0355193217646965,0.0425485855748439,0.0467534757483366,0.0329512767233738,0.0485350543917437,0.0395243065146954,0.0391835785672268,0.0376252778432819
1,1,1,1,1,1,1,1,1,0.0344965590907095,0.0344965590907095,0.0408856567613853,0.0459180170095129,0.0321203763762323,0.0470041241393564,0.0383862221310395,0.037783413042053,0.0375464829041283
1,1,1,1,1,1,1,1,1,0.0369509981333936,0.0369509981333936,0.043262486819361,0.0559851217242533,0.0350810357727991,0.046249706529926,0.0411174116984344,0.0415486936084043,0.0389392314182391
1,1,1,1,1,1,1,1,1,0.03854831188995,0.03854831188995,0.0459669233934503,0.0639087189775174,0.0368410397026501,0.0447383364169018,0.0428948307306025,0.0440715101000478,0.0407758191104608
1,1,1,1,1,1,1,1,1,0.0369511437991496,0.0369511437991496,0.0422266593299838,0.0520474492136398,0.0348387160237723,0.0459019373142219,0.0411175737887476,0.0404489711341026,0.0380178565090299
1,1,1,1,1,1,1,1,1,0.034281967441372,0.034281967441372,0.0406950320499712,0.047347035227021,0.0341286673090961,0.0448655923215054,0.0381474341783839,0.0404246981047589,0.0407816604117591
1,1,1,1,1,1,1,1,1,0.0375411188466368,0.0375411188466368,0.0434762558009275,0.0519172913749515,0.0347821429711554,0.047985482319082,0.0417740715329157,0.0408162591062223,0.0367716328496297
1,1,1,1,1,1,1,1,1,0.0347614910118597,0.0347614910118597,0.0411529847677417,0.0521227986733212,0.0353420486523104,0.0419323796654596,0.0386810264779928,0.0414129353862689,0.0366603846781843
1,1,1,1,1,1,1,1,1,0.0372169161810317,0.0372169161810317,0.0432829862417355,0.0500689837077469,0.0332453006703495,0.0468910149388987,0.0414133133626685,0.0395495013807178,0.0367867386293774
1,1,1,1,1,1,1,1,1,0.0330617687641807,0.0330617687641807,0.0388813212408647,0.0436895713968435,0.0310461969659776,0.0427065378610481,0.0367896518748357,0.0358778447814449,0.0354018815069933
1,1,1,1,1,1,1,1,1,0.0333997660262912,0.0333997660262912,0.0372845565429108,0.0450178389114555,0.031982491686215,0.0383200612017166,0.037165760052725,0.0379594821489142,0.0368499661418531
1,1,1,1,1,1,1,1,1,0.0363206013716449,0.0363206013716449,0.0435503056776382,0.0517239081159273,0.0349642028140228,0.0480432213491073,0.0404159344854885,0.0409206292809576,0.0396981655273429
1,0,1,1,1,1,1,1,1,0.0353367386184598,0.0353367386184598,0.0413880718700662,0.0564470862372946,0.0328596690293822,0.0466168084941537,0.0393211361871739,0.0384788673451327,0.0391060360319169
1,1,1,1,1,1,1,1,1,0.0342586058867702,0.0342586058867702,0.0406915342395736,0.050191226514375,0.0355861068647051,0.0513286469748034,0.038121438489309,0.0414356795141713,0.040311526802674
1,1,1,1,1,1,1,1,1,0.0402351591433789,0.0402351591433789,0.0482120675420788,0.0583024307523501,0.0381478158259425,0.0492073139853759,0.0447718786182191,0.0445983097857439,0.0376030927551377
1,1,1,1,1,1,1,1,1,0.0362903035842088,0.0362903035842088,0.0414644433053082,0.0456374254925194,0.0340668037859918,0.043496035586505,0.0403822204679385,0.0397255152718554,0.0359105600307449
1,1,1,1,1,1,1,1,1,0.0306209140665411,0.0306209140665411,0.0356296428288815,0.0412686599944338,0.0318616751471508,0.0367285789707529,0.034073578356697,0.036867928734022,0.0357368056641525
1,1,1,1,1,1,1,1,1,0.0356145521502345,0.0356145521502345,0.0425657187721675,0.0483374140354897,0.0350855087375301,0.0491885052895083,0.0396302746120721,0.0409501942599522,0.0402486593818505
1,1,1,1,1,1,1,1,1,0.0352628202203102,0.0352628202203102,0.0417950748809345,0.0547479517142707,0.0361033885034867,0.0427746441490773,0.0392388831124982,0.0424641700053114,0.0405644175459014
1,1,1,1,1,1,1,1,1,0.032375559583766,0.032375559583766,0.0382503096210206,0.0439268001035006,0.0334695310872638,0.0488991340711118,0.036026069108262,0.03899441181697,0.0386611446695447
1,1,1,1,1,1,1,1,1,0.0357297064200301,0.0357297064200301,0.0419903727479469,0.0504300928340691,0.0344142223848903,0.0451552637877079,0.039758413113309,0.0396869140366551,0.0380694630802613
1,1,1,1,1,1,1,1,1,0.0354773536048676,0.0354773536048676,0.0422860071183141,0.0549173832226979,0.0335945969124559,0.045012926648464,0.0394776062307225,0.0398169220531764,0.0379707176840986
1,1,1,1,1,1,1,1,1,0.0353999054400994,0.0353999054400994,0.0421978564838061,0.059028505317009,0.0369399007387691,0.0488072201930302,0.039391425390233,0.0432530939297587,0.0400147235738725
1,1,1,1,1,1,1,1,1,0.0374183349425478,0.0374183349425478,0.0443281473128559,0.0493048046828609,0.0340145274010757,0.0488635867312382,0.0416374431171922,0.0403823000563053,0.0407320859654957
1,1,1,1,1,1,1,1,1,0.0422710191669067,0.0422710191669067,0.0496553034174876,0.0575338623320721,0.0344782936184285,0.0486773001210782,0.0470372922464405,0.0411487724052748,0.0395000270475032
1,1,1,1,1,1,1,1,1,0.0346489733514252,0.0346489733514252,0.0411670851779054,0.0554624409534474,0.0348964108962992,0.0496711456790681,0.0385558218772747,0.0408638512216681,0.0378551221743279
1,1,1,1,1,1,1,1,1,0.0377855629934588,0.0377855629934588,0.0447775416661754,0.0542441456131939,0.0353169762967334,0.0499392861210516,0.042046078004456,0.0416950402696889,0.0371978983454311
1,1,1,1,1,1,1,1,1,0.0357170140930287,0.0357170140930287,0.0410394372430975,0.0504650628495548,0.0342465064960605,0.0436573049176582,0.0397442896616815,0.0399602290346777,0.038541463599045
1,1,1,1,1,1,1,1,1,0.0390242069152263,0.0390242069152263,0.0464277112660735,0.0512987648625346,0.0366519354600066,0.0473661326125869,0.0434243853480146,0.0434519314474399,0.0389347201083834
1,1,1,1,1,1,1,1,1,0.0361683531277193,0.0361683531277193,0.0432008127313776,0.0531190323813118,0.0344975790635024,0.0475350503304639,0.0402465194752836,0.041015185630283,0.038062951236
